Firm,original_leaf,canonical_leaf,row_view,row_source,row_date,join_type,candidate_generation_rule,token_overlap,relationship_verdict,mapping_action,review_required,mapping_reason
AEW,RE - Europe,,O,2026 Mid-Year European Outlook: European Real Estate Recovery Can Withstand Pressure From Middle East Conflict,22/04/2026,near_leaf,short_label_containment + structural,0.6667,distinct,kept,false,'Base case total returns for European real estate are projected at 8.7% p.a.' is the broad European RE umbrella call.
AEW,RE - Europe Offices (Prime),,O,2026 Mid-Year European Outlook: European Real Estate Recovery Can Withstand Pressure From Middle East Conflict,22/04/2026,near_leaf,short_label_containment + structural,0.6667,distinct,kept,false,'Offices have taken the top spot in our latest prime rental growth outlook' is a specific prime-office call.
AEW,RE - Europe Offices (Secondary/Non-Prime),,U,2026 Mid-Year European Outlook: European Real Estate Recovery Can Withstand Pressure From Middle East Conflict,22/04/2026,near_leaf,short_label_containment + structural,0.6667,distinct,kept,false,'secondary office rents remain under pressure as many occupiers prefer prime buildings' is the opposite secondary-office call.
AEW,RE - Europe Residential,,O,2026 Mid-Year European Outlook: European Real Estate Recovery Can Withstand Pressure From Middle East Conflict,22/04/2026,near_leaf,short_label_containment + structural,0.6667,distinct,kept,false,'Prime residential rents are forecast to have growth of over 2.9% p.a.' is a distinct residential call.
AEW,RE - Europe Logistics,,O,2026 Mid-Year European Outlook: European Real Estate Recovery Can Withstand Pressure From Middle East Conflict,22/04/2026,near_leaf,short_label_containment + structural,0.6667,distinct,kept,false,'logistics ... expected to deliver 8.5% p.a.' is a distinct logistics-sector call.
AEW,RE - Europe Retail,,O,2026 Mid-Year European Outlook: European Real Estate Recovery Can Withstand Pressure From Middle East Conflict,22/04/2026,near_leaf,short_label_containment + structural,0.6667,distinct,kept,false,'Shopping centres and high street retail have projected 2026-30 rental growth of 1.7% and 1.6% p.a.' is a distinct retail-sector call.
Alger,AI,,O,Alger Capital Markets Presentation Summer 2026,07/07/2026,near_leaf,short_label_containment,0.2000,distinct,kept,false,"This is Alger's broad AI thematic conviction — ""AI investment is projected to reach nearly 6% of U.S. GDP by 2030"" — not the same call as a specific hardware pick."
Alger,IT/Tech/Telecomms (inc. AI),,O,Alger Capital Markets Presentation Summer 2026,07/07/2026,near_leaf,short_label_containment,0.2000,distinct,kept,false,"This names a specific non-U.S. hardware exposure — ""Semiconductor Manufacturing (Taiwan, Korea); High Bandwidth Memory (Korea)"" — a different underlying thing than the general AI theme."
Alger,Growth,,O,Alger Capital Markets Presentation Summer 2026,07/07/2026,near_leaf,short_label_containment,0.2500,distinct,kept,false,"This is Alger's broad growth-factor view — ""a tailwind to growth companies, which we believe are the drivers of innovation"" — with no geographic restriction."
Alger,Global ex-US Growth,,O,Alger Capital Markets Presentation Summer 2026,07/07/2026,near_leaf,short_label_containment,0.2500,distinct,kept,false,"This is specifically a non-U.S. growth call — ""the best non-U.S. opportunities are international growth stocks"" — a different (geographically scoped) exposure than the broad Growth factor."
Alger,Infrastructure Theme,,O,Alger Capital Markets Presentation Summer 2026,07/07/2026,near_leaf,structural,0.5000,distinct,kept,false,"This is a thematic space call — ""Enduring Themes — Space Infrastructure; rocket reusability is driving a dramatic reduction in launch costs"" — not the same thing as physical energy infrastructure."
Alger,Infrastructure,,O,Alger Capital Markets Presentation Summer 2026,07/07/2026,near_leaf,structural,0.5000,distinct,kept,false,"This names a specific regional utility exposure — ""Energy and Power Infrastructure (Germany, Eastern Europe)"" — a genuinely different call from the space-infrastructure theme."
AllianceBernstein,China Govt Bonds,,U,Global Macro Outlook: Third Quarter 2026,01/07/2026,near_leaf,structural,0.5000,distinct,kept,false,"This is a country-specific forecast — ""China — 10-Yr. Bond Yield (%): 2026F 2.00; 2027F 2.25"" — distinct from the Japan and Australia calls."
AllianceBernstein,Japan Govt Bonds,,O,Global Macro Outlook: Third Quarter 2026,01/07/2026,near_leaf,structural,0.5000,distinct,kept,false,"This is a country-specific forecast — ""Japan — 10-Yr. Bond Yield (%): 2026F 2.50, 2027F 2.25"" — a separate sovereign from China and Australia."
AllianceBernstein,Australia Govt Bonds,,O,Global Macro Outlook: Third Quarter 2026,01/07/2026,near_leaf,structural,0.5000,distinct,kept,false,"This is a country-specific forecast — ""Australia — Long Rates (%) 2026F 5.00; 2027F 4.50"" — a separate sovereign call."
AllianceBernstein,Duration,Duration,O,Fixed-Income Midyear Outlook: Six Ways to Put Volatility to Work,01/07/2026,near_leaf,structural,0.5000,same_claim,winner,true,"All three are AB's broad Duration stance and disagree, so the most current, explicitly-stated fixed-income call governs — ""today's environment argues for keeping bonds anchored within overall portfolios—and that means holding duration."""
AllianceBernstein,Duration,Duration,U,Multi-Asset Midyear Outlook: Fortitude Amid Disruption,30/06/2026,near_leaf,structural,0.5000,same_claim,superseded,true,"All three are AB's broad Duration stance and disagree, so the most current, explicitly-stated fixed-income call governs — ""today's environment argues for keeping bonds anchored within overall portfolios—and that means holding duration."""
AllianceBernstein,Duration,Duration,O,Global Macro Outlook: Third Quarter 2026,01/07/2026,near_leaf,structural,0.5000,same_claim,superseded,true,"All three are AB's broad Duration stance and disagree, so the most current, explicitly-stated fixed-income call governs — ""today's environment argues for keeping bonds anchored within overall portfolios—and that means holding duration."""
AllianceBernstein,UK Duration,,O,Multi-Asset Midyear Outlook: Fortitude Amid Disruption,30/06/2026,near_leaf,structural,0.5000,distinct,kept,false,"This is a country-specific rates exception — ""the market seems too hawkish in the UK"" — a separate call from the broad duration stance."
AllianceBernstein,Duration - Long,,O,Municipal Midyear Outlook: Room to Run as Demand Drives the Market,02/07/2026,near_leaf,structural,0.5000,distinct,kept,false,"This is a specific long-maturity muni call — ""Lengthen duration... transitions from steep to flatter curves have favored long bond returns"" — distinct from the intermediate/belly call."
AllianceBernstein,Duration - Intermediate,,O,Municipal Midyear Outlook: Room to Run as Demand Drives the Market,02/07/2026,near_leaf,structural,0.5000,distinct,kept,false,"This is a specific intermediate-maturity muni call — ""added exposure in the 'belly' of the curve increasingly compelling"" — a different maturity bucket than the long-duration call."
AllianceBernstein,Europe Duration,,O,Global Macro Outlook: Third Quarter 2026,01/07/2026,near_leaf,structural,0.5000,distinct,kept,false,"This is a Europe-specific rates forecast — ""Europe — Long Rates (%) 2026F 3.18; 2027F 2.90"" — a separate sovereign-duration call."
AllianceBernstein,Equities - General,,O,"Equity Outlook: Middle East War, Energy Shock Test Fragile Markets | Multi-Asset Midyear Outlook: Fortitude Amid Disruption | Equity Outlook: AI Enthusiasm Leaves Little Margin for Error",09/04/2026 | 30/06/2026 | 02/07/2026,near_leaf,short_label_containment + structural,0.5000,distinct,kept,false,"This is the broad asset-allocation equity stance — ""Overweight equities, with a US preference"" / ""equities are integral to long-term allocations"" — a different level than any single-country leaf."
AllianceBernstein,US Equities,US Equities,O,Multi-Asset Midyear Outlook: Fortitude Amid Disruption,30/06/2026,near_leaf,short_label_containment + structural,0.5000,same_claim,winner,true,"All three land on US Equities and disagree, so the explicit positioning statement governs over the agnostic and valuation-caution notes — ""equity exposure should favor the US, with its AI exposure, stronger earnings and profitability."""
AllianceBernstein,US Equities,US Equities,N,Global Macro Outlook: Third Quarter 2026,01/07/2026,near_leaf,short_label_containment + structural,0.5000,same_claim,superseded,true,"All three land on US Equities and disagree, so the explicit positioning statement governs over the agnostic and valuation-caution notes — ""equity exposure should favor the US, with its AI exposure, stronger earnings and profitability."""
AllianceBernstein,US Equities,US Equities,U,Equity Outlook: AI Enthusiasm Leaves Little Margin for Error,02/07/2026,near_leaf,short_label_containment + structural,0.5000,same_claim,superseded,true,"All three land on US Equities and disagree, so the explicit positioning statement governs over the agnostic and valuation-caution notes — ""equity exposure should favor the US, with its AI exposure, stronger earnings and profitability."""
AllianceBernstein,Emerging Markets Equities,,O,Multi-Asset Midyear Outlook: Fortitude Amid Disruption,30/06/2026,near_leaf,short_label_containment + structural,0.5000,distinct,kept,false,"This is a distinct EM equity call — ""Emerging markets... offer access to the AI value chain"" — a different geography than US or Japan."
AllianceBernstein,Japan Equities,,O,Multi-Asset Midyear Outlook: Fortitude Amid Disruption,30/06/2026,near_leaf,short_label_containment + structural,0.5000,distinct,kept,false,"This is a distinct Japan equity call — ""Japan offer[s] access to the AI value chain"" — a separate country exposure."
AllianceBernstein,Multi-Sector Equities - Diversification,,O,Equity Outlook: AI Enthusiasm Leaves Little Margin for Error,02/07/2026,near_leaf,short_label_containment + structural,0.5000,distinct,kept,false,"This is a market-breadth/diversification call — ""reinforced our conviction in portfolios with broader market exposure"" — distinct from any single-country stance."
AllianceBernstein,US Treasuries,,O,Municipal Midyear Outlook: Room to Run as Demand Drives the Market,02/07/2026,near_leaf,structural,0.6667,distinct,kept,false,"This is a muni-relative-value hold — ""hold Treasuries where tax-equivalent yields are more attractive... and prepare to rotate back into munis"" — a different call from a rate-forecast price view."
AllianceBernstein,Intermediate US Treasuries,,U,Global Macro Outlook: Third Quarter 2026,01/07/2026,near_leaf,structural,0.6667,distinct,kept,false,"This is a rate-forecast view on intermediate Treasuries — ""US — 10-Yr. Bond Yield (%): 2026F 4.25; 2027F 4.50"" — a different leaf, rationale and direction than the muni-rotation hold."
Allianz,China Equities,,O,House View Q3 2026,15/06/2026,near_leaf,short_label_containment + structural,0.5000,distinct,kept,false,"Country-specific China call — ""China stands out given the rapid diffusion of AI across its economy."""
Allianz,Taiwan Equities,,O,House View Q3 2026,15/06/2026,near_leaf,short_label_containment + structural,0.5000,distinct,kept,false,"Country-specific Taiwan call — ""Taiwan and South Korea are benefiting from strong demand linked to the US's AI investment cycle."""
Allianz,South Korea Equities,,O,House View Q3 2026,15/06/2026,near_leaf,short_label_containment + structural,0.5000,distinct,kept,false,"Country-specific South Korea call — ""Taiwan and South Korea are benefiting from strong demand linked to the US's AI investment cycle."""
Allianz,Global Equities,,U,House View Q3 2026,15/06/2026,near_leaf,short_label_containment + structural,0.5000,distinct,kept,false,"Broad global-equity valuation call — ""Global equities marker sits deep in the Overvalued half of the valuation-score bar"" — a different leaf than any single country."
Allianz,US Equities,,O,House View Q3 2026,15/06/2026,near_leaf,short_label_containment + structural,0.5000,distinct,kept,false,"Country-specific US call — ""a preference for the US and EM over Europe and Japan."""
Allianz,Europe Equities,,U,House View Q3 2026,15/06/2026,near_leaf,short_label_containment + structural,0.5000,distinct,kept,false,"Country-specific Europe call — ""Euro zone equities marker sits in the Overvalued half of the valuation-score bar."""
Allianz,Japan Equities,,U,House View Q3 2026,15/06/2026,near_leaf,short_label_containment + structural,0.5000,distinct,kept,false,"Country-specific Japan call — Japan ranked ""below the preferred US and EM markets."""
Allianz,UK Equities,,O,House View Q3 2026,15/06/2026,near_leaf,short_label_containment + structural,0.5000,distinct,kept,false,"Country-specific UK call — ""Japan and the UK are still the cheapest equity markets on our metrics."""
Allianz,Asia Equities,,O,House View Q3 2026,15/06/2026,near_leaf,short_label_containment + structural,0.5000,distinct,kept,false,"Regional Asia call — ""In Asia, equities are well positioned to benefit from... infrastructure, defence, and AI spending."""
Allianz,Equities - General,,O,House View Q3 2026,15/06/2026,near_leaf,short_label_containment + structural,0.5000,distinct,kept,false,"Broad asset-allocation equity stance — ""we remain positive on equities... with a preference for the US and EM"" — a different level than any single country."
Allianz,Emerging Markets Equities,,O,House View Q3 2026,15/06/2026,near_leaf,short_label_containment + structural,0.5000,distinct,kept,false,"Broad EM equity call — ""a preference for the US and EM over Europe and Japan"" — a separate geography leaf."
Allianz,EM Debt - Local Currency,,O,House View Q3 2026,15/06/2026,near_leaf,structural,0.5000,distinct,kept,false,This is a specific local-currency position — the firm likes 'long 15-year Peruvian and 10-year Brazilian local rates' — not the broad EM-bond preference.
Allianz,EM Debt - General,,O,House View Q3 2026,15/06/2026,near_leaf,structural,0.5000,distinct,kept,false,"This is a broad top-down statement that they 'prefer EM bonds', separate from the specific local-rate call and not tied to a currency segment."
Allianz,US IG Credit,,O,House View Q3 2026,15/06/2026,near_leaf,structural,0.5000,distinct,kept,false,A US-specific positive call: 'favour US ... investment-grade bonds over high yielders'.
Allianz,Europe IG Credit,,U,House View Q3 2026,15/06/2026,near_leaf,structural,0.5000,distinct,kept,false,A Europe-specific underweight from the valuation chart marking 'Euro IG corporate bonds' as 'Overvalued' and less attractive.
Allianz,Global IG Credit,,O,House View Q3 2026,15/06/2026,near_leaf,structural,0.5000,distinct,kept,false,A broad global IG-tilt call — 'a tilt towards investment grade' with sector selectivity — distinct from the geography-specific US and Europe calls.
American Century Investments,LatAm Fixed Income,,O,Global Fixed Income,18/12/2023,near_leaf,structural,0.5000,distinct,kept,false,"Local rates 'favors Latin America, a commodity exporter region offering some of the market's highest yields' — a positive LatAm call."
American Century Investments,Asia Fixed Income,,U,Global Fixed Income,18/12/2023,near_leaf,structural,0.5000,distinct,kept,false,"'generally avoiding Asia due to its low yields' is a distinct, opposite-view call on a different region."
American Century Investments,US Duration,,N,Global Macroeconomic,16/05/2022,near_leaf,structural,0.5000,distinct,kept,false,"A 2022 neutral US-duration call expecting the '10-year Treasury yield to hover between 4.25% and 4.75%', a different document and horizon from the 2023 rows."
American Century Investments,Duration,,O,Global Fixed Income,18/12/2023,near_leaf,structural,0.5000,distinct,kept,false,"A general add-duration stance — 'opportunities to add duration, particularly if the two-year yield exceeds 4.25%' — not tied to the US-specific leaf."
American Century Investments,US Duration,,U,Multi Asset Strategies,18/12/2023,near_leaf,structural,0.5000,distinct,kept,false,"A separate 2023 higher-for-longer negative view from a different source ('challenging for anyone ... to support cutting interest rates'), distinct in date and stance from the 2022 US-duration row."
Amova,Japan Equities,,O,Global Investment Strategy Committee Outlook Q3 2026,03/07/2026,near_leaf,structural,0.6667,distinct,kept,false,A broad country call — 'Japan remains our preferred equity market' — not the sector-specific financials bet.
Amova,Japan Equities - Financials,,O,Global Investment Strategy Committee Outlook Q3 2026,03/07/2026,near_leaf,structural,0.6667,distinct,kept,false,"A specific sector call that reflation is 'supporting financial institutions', a sub-sector position under Japanese equities rather than the market-wide view."
Amundi,AI,,O,Global Investment Views - July 2026,30/06/2026,near_leaf,short_label_containment,0.2000,distinct,kept,false,A positive AI thematic view citing 'AI infrastructure' within Europe's multi-year investment cycle.
Amundi,IT/Tech/Telecomms (inc. AI),,N,Global Investment Views - July 2026,30/06/2026,near_leaf,short_label_containment,0.2000,distinct,kept,false,A neutral IT-sector rating — 'Information technology — US: =; Europe: =; Japan: =' — distinct from the AI theme.
Amundi,Duration - Long,,O,Global Investment Views - July 2026,30/06/2026,near_leaf,structural,0.5000,distinct,kept,false,"A positive long-duration real-rate call: 'we favour long-term real rates, inflation linked bonds'."
Amundi,US Duration,,N,Global Investment Views - July 2026,30/06/2026,near_leaf,structural,0.5000,distinct,kept,false,A US-specific neutral stance: 'Still neutral for now'.
Amundi,Duration,,U,Global Investment Views - July 2026,30/06/2026,near_leaf,structural,0.5000,distinct,kept,false,A general duration-underweight preference: 'carry appears preferable to duration'.
Amundi,Europe Duration,,O,Global Investment Views - July 2026,30/06/2026,near_leaf,structural,0.5000,distinct,kept,false,A positive Europe-duration call: 'Good value in short-dated bonds'.
Amundi,UK Duration,,O,Global Investment Views - July 2026,30/06/2026,near_leaf,structural,0.5000,distinct,kept,false,A positive UK-duration call: 'Still very attractive valuations'.
Amundi,Japan Duration,,N,Global Investment Views - July 2026,30/06/2026,near_leaf,structural,0.5000,distinct,kept,false,A neutral Japan-duration call: 'Looking for an entry point'.
Amundi,EM Debt - General,,O,Global Investment Views - July 2026,30/06/2026,near_leaf,structural,0.6000,distinct,kept,false,A broad income statement — 'EM bonds look attractive for income' — not tied to a specific currency segment.
Amundi,EM Debt - Hard Currency,,O,Global Investment Views - July 2026,30/06/2026,near_leaf,structural,0.6000,distinct,kept,false,A hard-currency-specific call from the stance grid: 'EM HC cautiously attractive'.
Amundi,EM Debt - Local Currency,,O,Global Investment Views - July 2026,30/06/2026,near_leaf,structural,0.6000,distinct,kept,false,"A local-currency-specific call from the stance grid: 'Positive, with selectivity', a different exposure from hard currency."
Amundi,Euro Govt Bonds,,U,Global Investment Views - July 2026,30/06/2026,near_leaf,structural,0.7500,distinct,kept,false,"This is a broad rate-impulse inference — 'the European Central Bank will deliver one more precautionary quarter-point rate hike' — spanning all euro sovereigns, not the core-vs-peripheral relative-value comparison."
Amundi,Euro Govt Bonds (Peripherals),,O,Global Investment Views - July 2026,30/06/2026,near_leaf,structural,0.7500,distinct,kept,false,The peripheral call is the opposite stance on a different sub-sector — 'Peripheral (Spanish and Italian) and EM bonds look attractive for income.'
Amundi,Euro Govt Bonds (Core),,U,Global Investment Views - July 2026,30/06/2026,near_leaf,structural,0.7500,distinct,kept,false,"The core call is a distinct relative-value view — 'We favour peripheral bonds and investment grade corporates, which look attractive relative to core European sovereigns.'"
Amundi,Europe IG Credit,,O,Global Investment Views - July 2026,30/06/2026,near_leaf,structural,0.5000,distinct,kept,false,Europe IG is a separate regional call — 'Now cheap versus US' — distinct from the US IG leaf.
Amundi,US IG Credit,,O,Global Investment Views - July 2026,30/06/2026,near_leaf,structural,0.5000,distinct,kept,false,US IG is a separate regional call — 'Slightly positive on inflation shock resilience' — distinct from Europe IG.
Amundi,Japan Govt Bonds,,U,Global Investment Views - July 2026,30/06/2026,near_leaf,structural,0.5000,distinct,kept,false,Japan is a distinct country call driven by 'the Bank of Japan... likely to hike policy rates once more.'
Amundi,India Govt Bonds,,N,Global Investment Views - July 2026,30/06/2026,near_leaf,structural,0.5000,distinct,kept,false,India is a distinct country call driven by 'The Reserve Bank of India will remain on hold through to the end of the year.'
Amundi,South Korea Equities,,O,Global Investment Views - July 2026,30/06/2026,near_leaf,structural,0.5000,distinct,kept,false,South Korea is a distinct country call — 'AI memory leader... Benefits from AI scarcity and memory demand.'
Amundi,South Africa/Africa Equities,,O,Global Investment Views - July 2026,30/06/2026,near_leaf,structural,0.5000,distinct,kept,false,"South Africa is a distinct country call — 'robust earnings, fiscal discipline and credible reforms.'"
Amundi,US Equities,,N,Global Investment Views - July 2026,30/06/2026,near_leaf,structural,0.5000,distinct,kept,false,"The firm itself separates the two exposures — 'Neutral overall, positive equal weight' — making broad US a distinct neutral call."
Amundi,US Equities Equal-Weighted,,O,Global Investment Views - July 2026,30/06/2026,near_leaf,structural,0.5000,distinct,kept,false,Equal-weight is the firm's deliberately separate positive expression — 'US equity EW row shows the expected stance marker in the positive zone.'
Angel Oak Capital Advisors,Duration,Duration,O,Angel Oak 2026 Mid Year Outlook,02/07/2026,near_leaf,short_label_containment,0.3333,same_claim,winner,true,"Both rows quote the same sentence — 'an overweight to duration, particularly in short- and intermediate-term fixed-rate bonds' — a single overweight-duration call."
Angel Oak Capital Advisors,Duration - Short-to-Intermediate,Duration,O,Angel Oak 2026 Mid Year Outlook,02/07/2026,near_leaf,short_label_containment,0.3333,same_claim,merged,true,"Both rows quote the same sentence — 'an overweight to duration, particularly in short- and intermediate-term fixed-rate bonds' — a single overweight-duration call."
Angel Oak Capital Advisors,Equities - General,,U,Angel Oak 2026 Mid Year Outlook,02/07/2026,near_leaf,structural,0.5000,distinct,kept,false,"This is a broad equities-vs-bonds asset-allocation view — 'bonds appear more attractive than equities' — spanning all stocks, not US specifically."
Angel Oak Capital Advisors,US Equities,,U,Angel Oak 2026 Mid Year Outlook,02/07/2026,near_leaf,structural,0.5000,distinct,kept,false,This is a US-specific call keyed to the S&P 500 chart — 'U.S. IG Yield-to-Worst Minus S&P 500 Earnings Yield... Favorable time to invest in bonds.'
Angel Oak Capital Advisors,US IG Credit,US IG Credit,O,Angel Oak 2026 Mid Year Outlook,02/07/2026,near_leaf,structural,0.6667,same_claim,winner,true,"Both concern US IG corporate bonds and the arbiter resolves the view — 'under the published-level rule, it overrides the directional relative-value comparison' — making the overweight row the firm's call."
Angel Oak Capital Advisors,US Credit,US IG Credit,U,Angel Oak 2026 Mid Year Outlook,02/07/2026,near_leaf,structural,0.6667,same_claim,superseded,true,"Both concern US IG corporate bonds and the arbiter resolves the view — 'under the published-level rule, it overrides the directional relative-value comparison' — making the overweight row the firm's call."
Aviva,AI,,O,House View,26/03/2026,near_leaf,short_label_containment,0.2000,distinct,kept,false,"Row 0 is a thematic AI call — ""The AI boom has continued apace, with hyperscalers announcing around $700 billion in spending"" — narrower than the broad IT/Tech sector."
Aviva,IT/Tech/Telecomms (inc. AI),,O,House View,26/03/2026,near_leaf,short_label_containment,0.2000,distinct,kept,false,"Row 1 is a sector-level call — ""Infotech remains an attractive sector but is undergoing some rotation"" — a distinct lens from the AI theme."
Aviva,Equities - General,,O,House View,26/03/2026,near_leaf,short_label_containment + structural,0.5000,distinct,kept,false,"Broad equity allocation — ""we remain overweight equities"" / ""Equities — 1 (Overweight)"" — not a single-region call."
Aviva,Emerging Markets Equities,,O,House View,26/03/2026,near_leaf,short_label_containment + structural,0.5000,distinct,kept,false,"Region-specific EM call — ""Equities > Emerging Markets — 1 (Overweight)""."
Aviva,Japan Equities,,O,House View,26/03/2026,near_leaf,short_label_containment + structural,0.5000,distinct,kept,false,"Region-specific Japan call — ""Equities > Japan — 1 (Overweight)""."
Aviva,US Equities,,O,House View,26/03/2026,near_leaf,short_label_containment + structural,0.5000,distinct,kept,false,"Region-specific US call — ""Equities > US — 1 (Overweight)""."
Aviva,Europe Equities,,N,House View,26/03/2026,near_leaf,short_label_containment + structural,0.5000,distinct,kept,false,"Region-specific Europe call — ""Equities > Europe — 0 (Neutral)""."
Aviva,Asia ex-Japan Equities,,N,House View,26/03/2026,near_leaf,short_label_containment + structural,0.5000,distinct,kept,false,"Region-specific Pacific ex-Japan call — ""Equities > Pacific Basin ex-Japan — 0 (Neutral)""."
Aviva,UK Equities,,N,House View,26/03/2026,near_leaf,short_label_containment + structural,0.5000,distinct,kept,false,"Region-specific UK call — ""Equities > UK — 0 (Neutral)""."
Aviva,China Equities,,U,House View,26/03/2026,near_leaf,short_label_containment + structural,0.5000,distinct,kept,false,"Region-specific China call implying caution — ""little good news... we don't see such stimulus repeating""."
Aviva,Canada Equities,,U,House View,26/03/2026,near_leaf,short_label_containment + structural,0.5000,distinct,kept,false,"Region-specific Canada call — ""growth in 2025 looks to have been below the BoC's reduced estimates of potential"" imply an underweight."
Aviva,Japan Govt Bonds,,N,House View,26/03/2026,near_leaf,structural,0.5000,distinct,kept,false,"Japan sovereign call — ""Nominal Government > Japan — 0 (Neutral)"" — a different country from Australia."
Aviva,Australia Govt Bonds,,O,House View,26/03/2026,near_leaf,structural,0.5000,distinct,kept,false,"Australia sovereign call — ""Nominal Government > Australia — 1 (Overweight)"" — a separate country with the opposite view."
Aviva,Duration,Duration,N,House View,26/03/2026,near_leaf,structural,0.5000,same_claim,winner,true,"Both express the one neutral-duration house view — ""we remain... neutral duration"" and on longer-dated duration ""we... prefer to remain neutral"" — with no competing front-end call to separate them."
Aviva,Duration - Long,Duration,N,House View,26/03/2026,near_leaf,structural,0.5000,same_claim,merged,true,"Both express the one neutral-duration house view — ""we remain... neutral duration"" and on longer-dated duration ""we... prefer to remain neutral"" — with no competing front-end call to separate them."
Aviva,Japan Duration,,N,House View,26/03/2026,near_leaf,structural,0.5000,distinct,kept,false,"Country-specific curve call — ""low conviction on the shape of the yield curve in Japan"" — a separate market from the firm's overall duration stance."
Aviva,EM Debt - Hard Currency,,N,House View,26/03/2026,near_leaf,structural,0.6000,distinct,kept,false,"Hard-currency EM debt — ""Emerging Govt (Hard Currency) — 0 (Neutral)"" — a distinct instrument."
