Firm,Sub-Asset Class,action,scope_verdict,scope_reason,precedence_rule,row_view,row_source,row_date,row_confidence,row_band,row_basis,surviving_row
AllianceBernstein,USD,kept_distinct,distinct_claims,"Different horizon: a ""longer-term view is for dollar weakening"" versus near-term ""directionless trading in USD.""",,U,Multi-Asset Midyear Outlook: Fortitude Amid Disruption,30/06/2026,75,High,stated,(all rows kept)
AllianceBernstein,USD,kept_distinct,distinct_claims,"Different horizon: a ""longer-term view is for dollar weakening"" versus near-term ""directionless trading in USD.""",,N,Global Macro Outlook: Third Quarter 2026,01/07/2026,89,High,stated,(all rows kept)
American Century Investments,AI,winner,same_claim,"Both make the same positive AI-growth call—""long-term growth opportunities in many areas, such as artificial intelligence"" and ""AI is becoming a general-purpose technology.""",same_view_merge,O,US Equity,25/09/2024,75,High,stated,US Equity | Global Equity
American Century Investments,AI,merged,same_claim,"Both make the same positive AI-growth call—""long-term growth opportunities in many areas, such as artificial intelligence"" and ""AI is becoming a general-purpose technology.""",same_view_merge,O,Global Equity,18/12/2023,74,Medium,inferred,US Equity | Global Equity
American Century Investments,EM Sovereign Bonds,kept_distinct,distinct_claims,"Different sub-sector/scope: a broad EM-sovereign underweight (""higher bar for yields to fully retrace"") versus specific country picks (""Colombia, Argentina and Ecuador"").",,U,Global Macroeconomic,16/05/2022,72,Medium,inferred,(all rows kept)
American Century Investments,EM Sovereign Bonds,kept_distinct,distinct_claims,"Different sub-sector/scope: a broad EM-sovereign underweight (""higher bar for yields to fully retrace"") versus specific country picks (""Colombia, Argentina and Ecuador"").",,O,Global Fixed Income,18/12/2023,75,High,stated,(all rows kept)
American Century Investments,Emerging Markets Equities,kept_distinct,distinct_claims,"Different stance/horizon: ""outlooks remain mixed"" versus ""a constructive view on emerging markets for this year and beyond.""",,N,Global Macroeconomic,16/05/2022,68,Medium,inferred,(all rows kept)
American Century Investments,Emerging Markets Equities,kept_distinct,distinct_claims,"Different stance/horizon: ""outlooks remain mixed"" versus ""a constructive view on emerging markets for this year and beyond.""",,O,Global Equity,18/12/2023,74,Medium,inferred,(all rows kept)
American Century Investments,Energy Sector,winner,same_claim,"Both are positive on energy equities—""support profits across parts of the energy sector"" and ""opportunities for select firms across oil, gas, nuclear and renewables.""",same_view_merge,O,US Equity,25/09/2024,74,Medium,inferred,US Equity | Global Equity
American Century Investments,Energy Sector,merged,same_claim,"Both are positive on energy equities—""support profits across parts of the energy sector"" and ""opportunities for select firms across oil, gas, nuclear and renewables.""",same_view_merge,O,Global Equity,18/12/2023,74,Medium,inferred,US Equity | Global Equity
American Century Investments,Europe Equities,kept_distinct,distinct_claims,"Different thesis: macro caution (""sub-trend growth throughout Europe ... should continue"") versus a sector-opportunity read (""defense and infrastructure ... creating opportunities"").",,U,Global Macroeconomic,16/05/2022,72,Medium,inferred,(all rows kept)
American Century Investments,Europe Equities,kept_distinct,distinct_claims,"Different thesis: macro caution (""sub-trend growth throughout Europe ... should continue"") versus a sector-opportunity read (""defense and infrastructure ... creating opportunities"").",,O,Global Equity,18/12/2023,68,Medium,inferred,(all rows kept)
American Century Investments,Oil,winner,same_claim,"Both make the same positive oil call—""support for oil prices can last longer than many expect"" and ""it could take six months or longer for oil supplies to recover.""",same_view_merge,O,US Equity,25/09/2024,74,Medium,inferred,US Equity | Multi Asset Strategies
American Century Investments,Oil,merged,same_claim,"Both make the same positive oil call—""support for oil prices can last longer than many expect"" and ""it could take six months or longer for oil supplies to recover.""",same_view_merge,O,Multi Asset Strategies,18/12/2023,72,Medium,inferred,US Equity | Multi Asset Strategies
American Century Investments,Taiwan Equities,kept_distinct,distinct_claims,"Different scenario: an AI-growth upside (""Asia is at the center of these trends"") versus a geopolitical risk case (""China Invades Taiwan ... not fully priced"").",,O,Global Equity,18/12/2023,68,Medium,inferred,(all rows kept)
American Century Investments,Taiwan Equities,kept_distinct,distinct_claims,"Different scenario: an AI-growth upside (""Asia is at the center of these trends"") versus a geopolitical risk case (""China Invades Taiwan ... not fully priced"").",,UNCERTAIN,Multi Asset Strategies,18/12/2023,68,Medium,inferred,(all rows kept)
American Century Investments,US Duration,kept_distinct,distinct_claims,"Different stance/horizon: a range-bound neutral (""hover between 4.25% and 4.75%"") versus a higher-for-longer negative (""challenging ... to support cutting interest rates"").",,N,Global Macroeconomic,16/05/2022,74,Medium,inferred,(all rows kept)
American Century Investments,US Duration,kept_distinct,distinct_claims,"Different stance/horizon: a range-bound neutral (""hover between 4.25% and 4.75%"") versus a higher-for-longer negative (""challenging ... to support cutting interest rates"").",,U,Multi Asset Strategies,18/12/2023,72,Medium,inferred,(all rows kept)
American Century Investments,US Treasuries,kept_distinct,distinct_claims,"Different thesis: yields deliver ""solid income and total return potential"" versus foreign-demand risk that could ""push prices lower and yields higher.""",,O,Global Macroeconomic,16/05/2022,74,Medium,inferred,(all rows kept)
American Century Investments,US Treasuries,kept_distinct,distinct_claims,"Different thesis: yields deliver ""solid income and total return potential"" versus foreign-demand risk that could ""push prices lower and yields higher.""",,U,Multi Asset Strategies,18/12/2023,68,Medium,inferred,(all rows kept)
Carmignac,AI,winner,same_claim,"Both are the same AI call, near-identical text—""AI remains the centre of gravity ... broaden toward hyperscalers, data centres.""",same_view_merge,O,H2 2026 Outlook,,85,High,stated,H2 2026 Outlook | Carmignac H2 2026 Outlook
Carmignac,AI,merged,same_claim,"Both are the same AI call, near-identical text—""AI remains the centre of gravity ... broaden toward hyperscalers, data centres.""",same_view_merge,O,Carmignac H2 2026 Outlook,12/06/2026,74,Medium,inferred,H2 2026 Outlook | Carmignac H2 2026 Outlook
Carmignac,China Equities,winner,same_claim,"Both make the same negative China read—""disappointing activity data to force an abrupt policy pivot.""",same_view_merge,U,H2 2026 Outlook,,72,Medium,inferred,H2 2026 Outlook | Carmignac H2 2026 Outlook
Carmignac,China Equities,merged,same_claim,"Both make the same negative China read—""disappointing activity data to force an abrupt policy pivot.""",same_view_merge,U,Carmignac H2 2026 Outlook,12/06/2026,72,Medium,inferred,H2 2026 Outlook | Carmignac H2 2026 Outlook
Carmignac,Consumer Staples,winner,same_claim,"Both are the identical consumer-staples caution—""High leverage, weak demographic tailwinds, the rise of GLP-1 drugs.""",same_view_merge,U,H2 2026 Outlook,,85,High,stated,H2 2026 Outlook | Carmignac H2 2026 Outlook
Carmignac,Consumer Staples,merged,same_claim,"Both are the identical consumer-staples caution—""High leverage, weak demographic tailwinds, the rise of GLP-1 drugs.""",same_view_merge,U,Carmignac H2 2026 Outlook,12/06/2026,74,Medium,inferred,H2 2026 Outlook | Carmignac H2 2026 Outlook
Carmignac,Credit - General / Multi-Sector / Broad,winner,same_claim,"Both keep broad credit positive—""Spreads are tight, but carry remains valuable"" and ""own credits backed by hard assets and resilient cash flows.""",same_view_merge,O,H2 2026 Outlook,,75,High,stated,H2 2026 Outlook | Carmignac H2 2026 Outlook
Carmignac,Credit - General / Multi-Sector / Broad,merged,same_claim,"Both keep broad credit positive—""Spreads are tight, but carry remains valuable"" and ""own credits backed by hard assets and resilient cash flows.""",same_view_merge,O,Carmignac H2 2026 Outlook,12/06/2026,74,Medium,inferred,H2 2026 Outlook | Carmignac H2 2026 Outlook
Carmignac,Credit - Select Sectors,kept_distinct,distinct_claims,"Different sub-sector: favored issuers ""in financials, energy, industrials"" versus ""avoid sectors facing technological disruption.""",,O,H2 2026 Outlook,,75,High,stated,(all rows kept)
Carmignac,Credit - Select Sectors,kept_distinct,distinct_claims,"Different sub-sector: favored issuers ""in financials, energy, industrials"" versus ""avoid sectors facing technological disruption.""",,U,Carmignac H2 2026 Outlook,12/06/2026,75,High,stated,(all rows kept)
Carmignac,Data Centers,winner,same_claim,"Both are positive on data centres—""hyperscalers could emerge as some of the next major winners"" and ""the next phase should broaden toward ... data centres.""",same_view_merge,O,H2 2026 Outlook,,75,High,stated,H2 2026 Outlook | Carmignac H2 2026 Outlook
Carmignac,Data Centers,merged,same_claim,"Both are positive on data centres—""hyperscalers could emerge as some of the next major winners"" and ""the next phase should broaden toward ... data centres.""",same_view_merge,O,Carmignac H2 2026 Outlook,12/06/2026,74,Medium,inferred,H2 2026 Outlook | Carmignac H2 2026 Outlook
Carmignac,Europe Equities,winner,same_claim,"Both express the same conditional European optionality—""normalisation ... could reignite optimism"" and ""Europe offers optionality if geopolitics calm down.""",basis,O,H2 2026 Outlook,,74,Medium,stated,H2 2026 Outlook
Carmignac,Europe Equities,superseded,same_claim,"Both express the same conditional European optionality—""normalisation ... could reignite optimism"" and ""Europe offers optionality if geopolitics calm down.""",basis,UNCERTAIN,Carmignac H2 2026 Outlook,12/06/2026,74,Medium,inferred,H2 2026 Outlook
Carmignac,Europe Equities - Financials,winner,same_claim,"Both favor European banks on the same peace-play thesis—""European banks in particular offer optionality to a 'peace play'"" and ""Our preferred exposures remain aeronautics and banks.""",same_view_merge,O,H2 2026 Outlook,,75,High,stated,H2 2026 Outlook | Carmignac H2 2026 Outlook
Carmignac,Europe Equities - Financials,merged,same_claim,"Both favor European banks on the same peace-play thesis—""European banks in particular offer optionality to a 'peace play'"" and ""Our preferred exposures remain aeronautics and banks.""",same_view_merge,O,Carmignac H2 2026 Outlook,12/06/2026,75,High,stated,H2 2026 Outlook | Carmignac H2 2026 Outlook
Carmignac,Long-Dated Bonds,winner,same_claim,"Both are the identical call to ""stay short the part of the market we view as most vulnerable to repricing – long-term government bonds.""",same_view_merge,U,H2 2026 Outlook,,86,High,stated,H2 2026 Outlook | Carmignac H2 2026 Outlook
Carmignac,Long-Dated Bonds,merged,same_claim,"Both are the identical call to ""stay short the part of the market we view as most vulnerable to repricing – long-term government bonds.""",same_view_merge,U,Carmignac H2 2026 Outlook,12/06/2026,86,High,stated,H2 2026 Outlook | Carmignac H2 2026 Outlook
Carmignac,Long-Dated US Treasuries,winner,same_claim,"Both are the same term-premium call—""the term premium at the long end of the US Treasury curve is likely to rise further.""",same_view_merge,U,H2 2026 Outlook,,75,High,stated,H2 2026 Outlook | Carmignac H2 2026 Outlook
Carmignac,Long-Dated US Treasuries,merged,same_claim,"Both are the same term-premium call—""the term premium at the long end of the US Treasury curve is likely to rise further.""",same_view_merge,U,Carmignac H2 2026 Outlook,12/06/2026,68,Medium,inferred,H2 2026 Outlook | Carmignac H2 2026 Outlook
Carmignac,Oil,winner,same_claim,"Both make the identical oil call—""oil prices would not immediately return to their pre-war level.""",same_view_merge,O,H2 2026 Outlook,,75,High,stated,H2 2026 Outlook | Carmignac H2 2026 Outlook
Carmignac,Oil,merged,same_claim,"Both make the identical oil call—""oil prices would not immediately return to their pre-war level.""",same_view_merge,O,Carmignac H2 2026 Outlook,12/06/2026,74,Medium,inferred,H2 2026 Outlook | Carmignac H2 2026 Outlook
Carmignac,Technology (Sector),winner,same_claim,"Both are the identical call—""technology remains at the heart of our equity allocation.""",same_view_merge,O,H2 2026 Outlook,,85,High,stated,H2 2026 Outlook | Carmignac H2 2026 Outlook
Carmignac,Technology (Sector),merged,same_claim,"Both are the identical call—""technology remains at the heart of our equity allocation.""",same_view_merge,O,Carmignac H2 2026 Outlook,12/06/2026,79,High,stated,H2 2026 Outlook | Carmignac H2 2026 Outlook
Carmignac,US Equities,winner,same_claim,"Both are the identical US-equity call—""mid-teens earnings growth ... continues to outweigh the headwind from higher bond yields.""",same_view_merge,O,H2 2026 Outlook,,85,High,stated,H2 2026 Outlook | Carmignac H2 2026 Outlook
Carmignac,US Equities,merged,same_claim,"Both are the identical US-equity call—""mid-teens earnings growth ... continues to outweigh the headwind from higher bond yields.""",same_view_merge,O,Carmignac H2 2026 Outlook,12/06/2026,74,Medium,inferred,H2 2026 Outlook | Carmignac H2 2026 Outlook
Charles Schwab,US Equities,winner,same_claim,"Both express one balanced US-equity stance—""the bull case has real substance. So does the case for managing it carefully"" and ""vulnerable to disappointment.""",recency,N,Schwab Market Perspective: Mid-Year Outlook,12/06/2026,75,High,stated,Schwab Market Perspective: Mid-Year Outlook
Charles Schwab,US Equities,superseded,same_claim,"Both express one balanced US-equity stance—""the bull case has real substance. So does the case for managing it carefully"" and ""vulnerable to disappointment.""",recency,UNCERTAIN,US Stock Market Outlook,03/06/2026,75,High,stated,Schwab Market Perspective: Mid-Year Outlook
Columbia Threadneedle Investments,Technology (Sector),winner,same_claim,"Both are overweight technology—""our overweight positioning in these areas"" and ""technology companies continue to lead.""",same_view_merge,O,Midyear Equity Outlook: Earnings strength fuels optimism,03/07/2026,86,High,stated,"Midyear Equity Outlook: Earnings strength fuels optimism | Midyear Macro Outlook: Persistence, perception and the path ahead for markets"
Columbia Threadneedle Investments,Technology (Sector),merged,same_claim,"Both are overweight technology—""our overweight positioning in these areas"" and ""technology companies continue to lead.""",same_view_merge,O,"Midyear Macro Outlook: Persistence, perception and the path ahead for markets",03/07/2026,75,High,stated,"Midyear Equity Outlook: Earnings strength fuels optimism | Midyear Macro Outlook: Persistence, perception and the path ahead for markets"
Edmond de Rothschild,Duration - Short,merged,same_claim,"Both favor short duration—""boosts the appeal of short-duration positions"" and ""maintain short duration in bonds.""",same_view_merge,O,"Outlook & Convictions: Asset Management, 2nd Semester 2026",02/07/2026,79,High,stated,"Outlook & Convictions: Asset Management, 2nd Semester 2026 | CIO Letter Private Banking Monaco July 2026"
Edmond de Rothschild,Duration - Short,winner,same_claim,"Both favor short duration—""boosts the appeal of short-duration positions"" and ""maintain short duration in bonds.""",same_view_merge,O,CIO Letter Private Banking Monaco July 2026,30/06/2026,86,High,stated,"Outlook & Convictions: Asset Management, 2nd Semester 2026 | CIO Letter Private Banking Monaco July 2026"
Edmond de Rothschild,Equities - General,merged,same_claim,"Both assign equities the growth/favored role—""growth assets thus comprise equities"" and ""favor equities.""",same_view_merge,O,"Outlook & Convictions: Asset Management, 2nd Semester 2026",02/07/2026,75,High,stated,"Outlook & Convictions: Asset Management, 2nd Semester 2026 | CIO Letter Private Banking Monaco July 2026"
Edmond de Rothschild,Equities - General,winner,same_claim,"Both assign equities the growth/favored role—""growth assets thus comprise equities"" and ""favor equities.""",same_view_merge,O,CIO Letter Private Banking Monaco July 2026,30/06/2026,79,High,stated,"Outlook & Convictions: Asset Management, 2nd Semester 2026 | CIO Letter Private Banking Monaco July 2026"
Edmond de Rothschild,IT/Tech/Telecomms (inc. AI),merged,same_claim,"Both keep semiconductor exposure—""neither to sell semiconductor stocks too early"" and ""favor ... major semiconductor manufacturers.""",same_view_merge,O,"Outlook & Convictions: Asset Management, 2nd Semester 2026",02/07/2026,74,Medium,inferred,"Outlook & Convictions: Asset Management, 2nd Semester 2026 | CIO Letter Private Banking Monaco July 2026"
Edmond de Rothschild,IT/Tech/Telecomms (inc. AI),winner,same_claim,"Both keep semiconductor exposure—""neither to sell semiconductor stocks too early"" and ""favor ... major semiconductor manufacturers.""",same_view_merge,O,CIO Letter Private Banking Monaco July 2026,30/06/2026,75,High,stated,"Outlook & Convictions: Asset Management, 2nd Semester 2026 | CIO Letter Private Banking Monaco July 2026"
Edmond de Rothschild,Industrials,merged,same_claim,"Both are one positive industrials/physical-economy call—""industry, advanced materials, defence, infrastructure ... where Europe possesses real strengths"" and ""electrical equipment producers ... picks and shovels.""",same_view_merge,O,"Outlook & Convictions: Asset Management, 2nd Semester 2026",02/07/2026,68,Medium,inferred,"Outlook & Convictions: Asset Management, 2nd Semester 2026 | CIO Letter Private Banking Monaco July 2026"
Edmond de Rothschild,Industrials,winner,same_claim,"Both are one positive industrials/physical-economy call—""industry, advanced materials, defence, infrastructure ... where Europe possesses real strengths"" and ""electrical equipment producers ... picks and shovels.""",same_view_merge,O,CIO Letter Private Banking Monaco July 2026,30/06/2026,74,Medium,inferred,"Outlook & Convictions: Asset Management, 2nd Semester 2026 | CIO Letter Private Banking Monaco July 2026"
GlobalX ETFs,Copper/Industrial,merged,same_claim,"Both are the same positive copper call—""Secular demand for power, infrastructure & compute"" and ""Copper stands out as a potential long-term winner.""",same_view_merge,O,2026 Midyear Outlook: Macroeconomic,06/07/2026,68,Medium,inferred,2026 Midyear Outlook: Macroeconomic | 2026 Midyear Outlook: Emerging Markets
GlobalX ETFs,Copper/Industrial,winner,same_claim,"Both are the same positive copper call—""Secular demand for power, infrastructure & compute"" and ""Copper stands out as a potential long-term winner.""",same_view_merge,O,2026 Midyear Outlook: Emerging Markets,06/07/2026,75,High,stated,2026 Midyear Outlook: Macroeconomic | 2026 Midyear Outlook: Emerging Markets
Guggenheim Investments,Oil,kept_distinct,distinct_claims,"Different horizon of one forecast: near-term elevation with ""nonlinear upside risk"" versus the same baseline ""before declining in Q4.""",,O,June 2026 Economic Outlook and Key Themes,15/06/2026,74,Medium,stated,(all rows kept)
Guggenheim Investments,Oil,kept_distinct,distinct_claims,"Different horizon of one forecast: near-term elevation with ""nonlinear upside risk"" versus the same baseline ""before declining in Q4.""",,U,June 2026 Economic Outlook and Key Themes,16/06/2026,74,Medium,inferred,(all rows kept)
Guggenheim Investments,US Agency MBS,winner,same_claim,"Both are the identical Agency RMBS call—""we continue to favor Agency residential mortgage-backed securities.""",same_view_merge,O,June 2026 Economic Outlook and Key Themes,15/06/2026,79,High,stated,June 2026 Economic Outlook and Key Themes
Guggenheim Investments,US Agency MBS,merged,same_claim,"Both are the identical Agency RMBS call—""we continue to favor Agency residential mortgage-backed securities.""",same_view_merge,O,June 2026 Economic Outlook and Key Themes,16/06/2026,79,High,stated,June 2026 Economic Outlook and Key Themes
Guggenheim Investments,US IG Credit,winner,same_claim,"Both are the identical call—""we have remained underweight investment-grade corporates where spreads remain very tight.""",same_view_merge,U,June 2026 Economic Outlook and Key Themes,15/06/2026,86,High,stated,June 2026 Economic Outlook and Key Themes
Guggenheim Investments,US IG Credit,merged,same_claim,"Both are the identical call—""we have remained underweight investment-grade corporates where spreads remain very tight.""",same_view_merge,U,June 2026 Economic Outlook and Key Themes,16/06/2026,86,High,stated,June 2026 Economic Outlook and Key Themes
Invesco,AI,merged,same_claim,"All three are one positive AI call—""key drivers of growth"", ""opportunities across the entire AI value chain"", and ""AI investment remains a powerful earnings and growth driver.""",same_view_merge,O,2026 Midyear Investment Outlook - Asia Equities,28/05/2026,85,High,stated,2026 Midyear Investment Outlook - Asia Equities | 2026 Midyear Investment Outlook – China Equities | 2026 midyear outlook: A world disrupted? Resilience endures.
Invesco,AI,merged,same_claim,"All three are one positive AI call—""key drivers of growth"", ""opportunities across the entire AI value chain"", and ""AI investment remains a powerful earnings and growth driver.""",same_view_merge,O,2026 Midyear Investment Outlook – China Equities,28/05/2026,85,High,stated,2026 Midyear Investment Outlook - Asia Equities | 2026 Midyear Investment Outlook – China Equities | 2026 midyear outlook: A world disrupted? Resilience endures.
Invesco,AI,winner,same_claim,"All three are one positive AI call—""key drivers of growth"", ""opportunities across the entire AI value chain"", and ""AI investment remains a powerful earnings and growth driver.""",same_view_merge,O,2026 midyear outlook: A world disrupted? Resilience endures.,02/06/2026,89,High,stated,2026 Midyear Investment Outlook - Asia Equities | 2026 Midyear Investment Outlook – China Equities | 2026 midyear outlook: A world disrupted? Resilience endures.
