Entity Name,Title (inc. MR link),Date,External link
HSBC Private Bank,"Investment Outlook Q2 2026: Changing narratives, continued opportunity",3/12/2026,https://www.privatebanking.hsbc.com/wih/investments-Insights/House-views/investment-outlook-q2-2026-changing-narratives/
HSBC Private Bank,Investment Outlook: HSBC Perspectives Q2 2026,3/12/2026,https://www.hsbc.co.uk/wealth/insights/market-outlook/investment-outlook/market-outlook-remains-promising-amid-shifting-narratives/
Invesco,Quarterly Global Asset Allocation 2026 Outlook,4/1/2026,https://www.invesco.com/uk/en/insights/quarterly-global-asset-allocation-portfolio-outlook.html
J.P. Morgan Asset Management,Global Fixed Income Views 2Q 2026,3/26/2026,https://am.jpmorgan.com/us/en/asset-management/institutional/insights/portfolio-insights/asset-class-views/fixed-income/
J.P. Morgan Asset Management,Global Asset Allocation Views 2Q 2026,4/30/2026,https://am.jpmorgan.com/gb/en/asset-management/institutional/insights/portfolio-insights/asset-class-views/asset-allocation/
J.P. Morgan Asset Management,Factor Views 2Q 2026,5/5/2026,https://am.jpmorgan.com/gb/en/asset-management/institutional/insights/portfolio-insights/asset-class-views/factor/
Janus Henderson Investors,Market GPS: Multi-Asset Quarterly Q2 2026,4/21/2026,https://www.janushenderson.com/en-us/investor/article/market-gps-multi-asset-quarterly-q2-2026/
KKR,Seeking Opportunity in the Noise: Private Markets Reframed,4/26/2026,https://www.kkr.com/insights/private-market-opportunities-2026
KKR,2026 Infrastructure Outlook,3/26/2026,https://www.kkr.com/insights/2026-infrastructure-outlook
L&G,Q2 2026 Asset Allocation outlook: Adapting to uncertainty,4/21/2026,https://am.landg.com/en-uk/adviser-wealth/insights/market-insights/q2-2026-asset-allocation-outlook-adapting-to-uncertainty/
L&G,Q2 2026 ETF Outlook: Diversify and Thrive,3/31/2026,https://blog.landg.com/categories/investment-strategy/q2-2026-etfindex-outlook-diversify-and-thrive/
LaSalle Investment Management,ISA Briefing: Dissecting macro memes,4/2/2026,https://www.lasalle.com/research-and-insights/isa-briefing-dissecting-macro-memes/
Lion Global Investors,2026 Q2 Market Outlook,3/30/2026,https://www.lionglobalinvestors.com/en/insights/2026-q2-market-outlook.html
Lombard Odier,Multi asset: navigating an inflation shock,4/10/2026,https://am.lombardodier.com/insights/2026/april/multi-asset-navigating-an-inflation-shock.html
Lombard Odier,"Conflict, energy and markets: charting a course for investors",3/27/2026,https://www.lombardodier.com/insights/2026/march/conflict-energy-and-markets.html
Lombard Odier,"Lessons from historic shocks, US-Iran ceasefire, and emerging opportunities",4/9/2026,https://www.lombardodier.com/insights/2026/april/lessons-from-historic-shocks.html
Lombard Odier,Energy shock exposes asymmetries in Asia,4/1/2026,https://www.lombardodier.com/insights/2026/april/energy-shock-exposes.html
Lombard Odier,The Iran war: will it stay? Or will it go now?,4/1/2026,https://www.lombardodier.com/insights/2026/april/the-iran-war-will-it-stay-or-will-it-go-now.html
Loomis Sayles,April 2026 Investment Outlook,4/1/2026,https://www.loomissayles.com/insights/april-2026-investment-outlook/
LPL Research,Finding Portfolio Resilience in Uncertain Times,3/19/2026,https://www.lpl.com/research/blog/finding-portfolio-resilience-in-uncertain-times.html
LPL Research,Long-Term Opportunities Always Present Themselves,4/8/2026,https://www.lpl.com/research/blog/long-term-opportunities-always-present-themselves.html
M&G Investments,Quarterly Equities and Multi Asset Outlook – Q2 2026,4/15/2026,https://www.mandg.com/investments/professional-investor/en-gb/insights/mandg-insights/latest-insights/2026/04/strat-eq-ma-macro-equities-and-multi-asset-outlook-q2-2026
Man Group,Q2 2026: An Era of Uncertainty,4/9/2026,https://www.man.com/insights/Q2-2026-Hedge-Fund-Strategy-Outlook
Managed Asset Portfolios,MAP Views — Second Quarter 2026,4/1/2026,https://www.managedassetportfolios.com/blog/map-views-second-quarter-2026
Manulife Investment Management,Asset allocation views: building resilience through uncertainty,4/24/2026,https://www.manulifeim.com/institutional/us/en/viewpoints/multi-asset-solutions/asset-allocation-views--building-resilience-through-uncertainty
Mercer,Q2 Economics & Market Update,4/23/2026,https://www.mercer.com/en-gb/insights/events/q2-economics-and-markets-update/
MetLife Investment Management,Relative Value & Tactical Asset Allocation – Q2 2026,3/4/2026,https://investments.metlife.com/insights/macro-strategy/relative-value-and-tactical-asset-allocation-Q2-2026/
MFS Investment Management,Global Market Pulse (USD),3/31/2026,https://www.mfs.com/en-gb/institutions-and-consultants/insights/market-insights/global-market-pulse-usd.html
Morgan Stanley Investment Management,The BEAT™ for Q2 2026 - April,4/6/2026,https://www.morganstanley.com/im/en-us/institutional-investor/insights/the-beat/the-beat-quarterly-2026.html
Morningstar,"Q2 2026 Stock Market Outlook: Don't Panic, Readjust",3/26/2026,https://www.morningstar.com/markets/q2-2026-stock-market-outlook-dont-panic-readjust
Muzinich & Co,Muzinich Asset Allocation Group Monthly Update - April 2026,4/9/2026,https://www.muzinich.com/opinions/muzinich-asset-allocation-group-monthly-update
Natixis Investment Managers,"Model Portfolio Pulse: Growth resilient, risks rising",4/7/2026,https://www.im.natixis.com/en-us/insights/portfolio-construction/2026/model-portfolio-pulse-february-2026
Neuberger Berman,Large Caps—Big Opportunity,4/13/2026,https://www.nb.com/insights/cio-weekly-article-large-caps-big-opportunity
Nomura Capital Management,Quarterly Market Outlook – Q2 2026,3/30/2026,https://nomuracapitalmanagement.com/quarterly-market-outlook/?utm_medium=social-media&utm_source=linkedin
Nuveen,2026 2Q outlook: Casting a wider net,3/31/2026,https://www.nuveen.com/global/insights/investment-outlook/2026-2q-outlook
OTP Bank,Investment Outlook Q2 2026,3/25/2026,https://www.otpbank.hu/globalmarkets/en/news/research/investment-outlook-2q2026
Pictet Asset Management,Barometer: Iran conflict demands earnest reassessment of active positions,3/27/2026,https://am.pictet.com/uk/en/intermediaries/investment-views/multi-asset/2026/april-barometer-of-financial-markets-outlook#text-0e0eedcdba
PIMCO,"Layered Uncertainty: Conflict, Credit Stress, and AI",3/24/2026,https://www.pimco.com/gb/en/insights/layered-uncertainty-conflict-credit-stress-and-ai
PineBridge Investments,Investment Strategy Insights: Strait Tension Portends a Short and Sharp Stagflationary Shock,4/7/2026,https://www.pinebridge.com/en/insights/investment-strategy-insights-strait-tension-portends-a-short-and-sharp
PineBridge Investments,Fixed Income Asset Allocation Insights: Geopolitical Uncertainty and Selective Risk Opportunities,3/31/2026,https://www.pinebridge.com/en/insights/fixed-income-asset-allocation-insights-geopolitical-uncertainty-and
Principal Asset Management,Global market perspectives 2Q 2026,4/9/2026,https://www.principalam.com/us/insights/macro-views/global-market-perspectives-2q-2026
Probus Pleion,Market Strategy Update Q2 2026,3/26/2026,FILE
Pru,Investment Outlooks Q2 2026,3/25/2026,https://www.mandg.com/dam/pru/shared/documents/en/lighthouse-q2-26.pdf
RBC Global Asset Management,Economic Outlook – Spring 2026,3/20/2026,https://www.rbcgam.com/en/ca/insights/global-investment-outlook
Robeco,EM Equities Quarterly Outlook,4/8/2026,https://www.robeco.com/en-us/insights/2026/04/em-equities-quarterly-outlook
Robeco,Equity outlook: From positive to perilous,4/1/2026,https://www.robeco.com/en-int/insights/2026/04/equity-outlook-from-positive-to-perilous
Robeco,Fixed income outlook: Flashback,3/12/2026,https://www.robeco.com/en-int/insights/2026/03/fixed-income-outlook-flashback
Robeco,"Credit outlook: Halo, is it me you're looking for?",3/23/2026,https://www.robeco.com/en-int/insights/2026/03/credit-outlook-halo-is-it-me-youre-looking-for
Rockefeller Capital Management,Rockefeller Investing Guide,4/9/2026,https://rcmbrand.rockco.com/Rockefeller%20Investing%20Guide%202026.03%20(marketing).pdf
Rothschild & Co,The rhythm of markets,4/2/2026,https://www.rothschildandco.com/en/newsroom/insights/2026/04/wm-quarterly-letter-the-rhythm-of-markets/
Royal London,ClockWise: Q1 review - Iran war triggers sharp changes in asset prices,4/2/2026,https://www.rlam.com/uk/institutional-investors/our-views/2026/clockwise-q1-review---iran-war-triggers-sharp-changes-in-asset-prices/
Russell Investments,Energy volatility complicates the inflation outlook but this isn't 2022,4/23/2026,https://russellinvestments.com/content/ri/uk/en-gb/insights/russell-research/2026/04/energy-volatility-complicates-the-inflation-outlook-but-this-isnt-2022.html
Schroders,CIO Lens Q2 2026,4/7/2026,https://www.schroders.com/en/global/individual/insights/video-cio-lens-q2-2026-our-job-is-to-manage-risk-and-uncertainty/
Schroders,Quarterly markets review - Q1 2026,4/7/2026,https://www.schroders.com/en/global/individual/insights/quarterly-markets-review---q1-2026/
Schroders,Our multi-asset investment views – March 2026,3/20/2026,https://www.schroders.com/en/global/individual/insights/our-multi-asset-investment-views-march-2026/
Schroders,Private Markets Investment Outlook Q2 2026: Resilience reinforced,3/31/2026,https://www.schroderscapital.com/en/global/professional/insights/private-markets-investment-outlook-q2-2026-resilience-reinforced/
Silvercrest Asset Management,Economic Review: Q2 2026,3/31/2026,https://www.silvercrestgroup.com/economic-review-q2-2026/
State Street Investment Management,Sector Market Perspectives: Q2 2026,4/8/2026,https://www.ssga.com/uk/en_gb/institutional/insights/sector-market-perspectives-q2-2026
State Street Investment Management,Q2 2026 Credit Research Outlook,3/31/2026,https://www.ssga.com/uk/en_gb/institutional/insights/q2-2026-credit-research-outlook
State Street Investment Management,Market Forecasts: Q2 2026,4/22/2026,https://www.ssga.com/uk/en_gb/institutional/insights/market-forecasts-q2-2026
State Street Investment Management,Bond Market Outlook: Q2 Investment Outlook,4/15/2026,https://www.ssga.com/uk/en_gb/institutional/insights/bond-market-outlook-etf
State Street Investment Management,Quarterly Inflation Outlook: Where Are the Inflation Havens?,4/16/2026,https://www.ssga.com/uk/en_gb/institutional/insights/Bond-outlook-Investor-flows-and-inflation
State Street Investment Management,Emerging Market Debt Commentary: Q1 2026,4/16/2026,https://www.ssga.com/uk/en_gb/institutional/insights/emerging-market-debt-commentary-q1-2026
State Street Investment Management,Real assets insights: Q1 2026,4/21/2026,https://www.ssga.com/uk/en_gb/institutional/insights/real-assets-insights
T. Rowe Price,Monthly Asset Allocation Update - March 2026,4/8/2026,https://www.troweprice.com/institutional/de/en/insights/articles/2026/q2/monthly-asset-allocation-update-april-2026.html
T. Rowe Price,Global Asset Allocation: The View From the UK,3/18/2026,https://www.troweprice.com/institutional/uk/en/insights/articles/2026/q1/global-asset-allocation-view-from-uk-march-2026.html
U.S. Wealth Management,Q2 2026 investment outlook: Markets navigate solid growth and rising uncertainty,4/1/2026,https://www.usbank.com/investing/financial-perspectives/market-news/economic-news.html
UBP,UBP House View - April 2026,4/2/2026,https://www.ubp.com/en/news-insights/newsroom/ubp-house-view-april-2026
UBS Global Wealth Management,US equities have room to rise further,4/27/2026,https://www.ubs.com/uk/en/wealthmanagement/insights/articles-adp/global/en/wealthmanagement/insights/chief-investment-office/house-view/daily/2026/latest-27042026.html?caasID=CAAS-ActivityStream
UBS Global Wealth Management,Ceasefire: Our investment perspectives,4/8/2026,https://www.ubs.com/global/en/wealthmanagement/insights/chief-investment-office/house-view/daily/2026/latest-08042026.html
UBS Global Wealth Management,Quarterly private markets update,4/15/2026,https://media.licdn.com/dms/document/media/v2/D4E1FAQFPRWUwtCrBkQ/feedshare-document-pdf-analyzed/B4EZ2cge2MKcAc-/0/1776447256662?e=1778112000&v=beta&t=LMtrWxj-4L1eXVFH40EgS6WSiKH1TU7bbN45yRrk7rE
Vanguard,Quarterly Investment Outlook | Q1 2026,3/19/2026,https://www.vanguard.co.uk/professional/events/quarterly-investment-outlook-2026-q1
Wellington Management,QUARTERLY ASSET ALLOCATION OUTLOOK: Q2 2026,4/8/2026,https://www.wellington.com/en/insights/quarterly-asset-allocation-q2-2026
Wellington Management,Monthly Asset Allocation Outlook,4/8/2026,https://www.wellington.com/en/insights/monthly-asset-allocation-outlook
Wells Fargo Investment Institute,Investment Strategy,4/6/2026,https://www.wellsfargoadvisors.com/research-analysis/strategy/weekly.htm?cid=WFA2300032987
WisdomTree,2026 Economic & Market Outlook,4/9/2026,https://www.wisdomtree.com/investments/-/media/us-media-files/documents/resource-library/market-insights/market-outlooks/2026/2026-outlook-middle-east-war.pdf
WisdomTree,Model portfolio outlook: positioning for opportunity in dispersion,3/24/2026,https://www.wisdomtree.eu/en-gb/blog/2026-03-24/model-portfolio-outlook-positioning-for-opportunity-in-dispersion
WisdomTree,"Thematic outlook: Look closely, opportunities abound",3/19/2026,https://www.wisdomtree.eu/en-gb/blog/2026-03-19/thematic-outlook-look-closely-opportunities-abound
WisdomTree,How the Iran War Is Reshaping the Macro Outlook,3/13/2026,https://www.wisdomtree.eu/en-gb/blog/2026-03-13/how-the-iran-war-is-reshaping-the-macro-outlook
WisdomTree,Equity Outlook catching the tailwinds respecting the headwinds,3/16/2026,https://www.wisdomtree.eu/en-gb/blog/2026-03-16/equity-outlook-catching-the-tailwinds-respecting-the-headwinds
