Firm,Date,Source,URL,Sub-Asset Class,Asset Class Category,Canva Groupings,Asset Class,View,Full Commentary,confidence,band,review_flag,basis,checker_strength,call_language,quote_match
Janus Henderson Investors,,Market GPS Investment Outlook Mid-Year 2026,https://cdn.janushenderson.com/webdocs/Janus_Henderson_MarketGPS_Investment_Outlook_Mid-Year_2026.pdf,Global Equities,Equities - Geo,Equities - Geography,Equities,O,"Janus Henderson is constructive on global equities, arguing that markets remain rich with opportunities beyond the narrow leadership of recent years. Evidence: We continue to view global equity markets as ripe with opportunities.. Locator: p.2.",75,High,none,stated,adequate,directional,
Janus Henderson Investors,,Market GPS Investment Outlook Mid-Year 2026,https://cdn.janushenderson.com/webdocs/Janus_Henderson_MarketGPS_Investment_Outlook_Mid-Year_2026.pdf,Growth,Equities - Factor,"Equities - Sectors, Factors, Thematics",Equities,O,"Janus Henderson sees overlooked growth companies as undervalued, making the growth factor attractive within a broader equity opportunity set. Evidence: These ignored growth opportunities seem undervalued, and some even offer attractive dividends.. Locator: p.2. Checker: unconfirmed (""Ignored growth opportunities"" undervalued reads as much like cheap companies as the growth style factor; mapping to the Growth leaf is defensible but not decisive.).",74,Medium,review,stated,thin,directional,
Janus Henderson Investors,,Market GPS Investment Outlook Mid-Year 2026,https://cdn.janushenderson.com/webdocs/Janus_Henderson_MarketGPS_Investment_Outlook_Mid-Year_2026.pdf,High Dividend/Dividends/Income,Equities - Factor,"Equities - Sectors, Factors, Thematics",Equities,O,"Janus Henderson highlights dividend-paying equities as attractive within the broadened equity opportunity set. Evidence: Richard Bernstein quote callout says: ""While boring, dividends are beautiful"". Locator: p.3 — Richard Bernstein quote callout.",75,High,none,stated,adequate,directional,
Janus Henderson Investors,,Market GPS Investment Outlook Mid-Year 2026,https://cdn.janushenderson.com/webdocs/Janus_Henderson_MarketGPS_Investment_Outlook_Mid-Year_2026.pdf,EAFE/Int'l/Developed ex-US,Equities - DMs,Equities - Geography,Equities,O,"The side panel names ex-U.S. equities as a second-half 2026 opportunity, citing balanced opportunities and attractive valuations. Evidence: EQUITIES — Ex-U.S.: Balanced opportunity set, attractive valuations. Locator: p.3 — 'The following themes' side panel.",75,High,none,stated,adequate,directional,
Janus Henderson Investors,,Market GPS Investment Outlook Mid-Year 2026,https://cdn.janushenderson.com/webdocs/Janus_Henderson_MarketGPS_Investment_Outlook_Mid-Year_2026.pdf,AI,Equities - Thematic,"Equities - Sectors, Factors, Thematics",Equities,O,"Janus Henderson is positive on AI beneficiaries, especially companies enabling the buildout or embedding AI into operations. Evidence: These trends point to compelling growth prospects in companies supporting the AI buildout and those integrating AI into core operations.. Locator: p.4.",85,High,none,stated,adequate,directional,
Janus Henderson Investors,,Market GPS Investment Outlook Mid-Year 2026,https://cdn.janushenderson.com/webdocs/Janus_Henderson_MarketGPS_Investment_Outlook_Mid-Year_2026.pdf,IT/Tech/Telecomms (inc. AI),Equities - Sector,"Equities - Sectors, Factors, Thematics",Equities,O,"Janus Henderson favors technology-related bottleneck suppliers where AI-driven capital expenditure remains strong. Evidence: Demand is already exceeding supply across semiconductors, memory, cooling systems, optical, and power equipment. Companies operating at these bottlenecks, where capital expenditure shows no sign of slowing, merit consideration.. Locator: p.4.",75,High,none,stated,adequate,directional,
Janus Henderson Investors,,Market GPS Investment Outlook Mid-Year 2026,https://cdn.janushenderson.com/webdocs/Janus_Henderson_MarketGPS_Investment_Outlook_Mid-Year_2026.pdf,Small/Mid-Cap,Equities - DM Caps,Equities - Geography,Equities,O,"Janus Henderson is constructive on smaller companies because innovation, nearshoring, and biotech advances create structural tailwinds. Evidence: Smaller companies are often at the forefront of innovation and have three structural shifts in their favor: They operate where the middle of the value chain and the AI revolution intersect; more locally focused supply chains position them as beneficiaries of nearshoring; and biotech firms sit at the forefront of medical breakthroughs amid major advances in gene therapies and disease targeting.. Locator: p.5.",75,High,none,stated,adequate,directional,
Janus Henderson Investors,,Market GPS Investment Outlook Mid-Year 2026,https://cdn.janushenderson.com/webdocs/Janus_Henderson_MarketGPS_Investment_Outlook_Mid-Year_2026.pdf,Supply Chain Reshoring,Equities - Thematic,"Equities - Sectors, Factors, Thematics",Equities,O,Janus Henderson views nearshoring and supply-chain realignment as a positive structural theme for locally focused companies. Evidence: Smaller companies are often at the forefront of innovation and have three structural shifts in their favor: They operate where the middle of the value chain and the AI revolution intersect; more locally focused supply chains position them as beneficiaries of nearshoring; and biotech firms sit at the forefront of medical breakthroughs amid major advances in gene therapies and disease targeting.. Locator: p.5.,75,High,none,stated,adequate,directional,
Janus Henderson Investors,,Market GPS Investment Outlook Mid-Year 2026,https://cdn.janushenderson.com/webdocs/Janus_Henderson_MarketGPS_Investment_Outlook_Mid-Year_2026.pdf,Europe Equities,Equities - DMs,Equities - Geography,Equities,O,"Janus Henderson is positive on European equities because defense spending and bank profitability create regional tailwinds. Evidence: Europe, in particular, is well placed to benefit from increased defense spending and banking sector profitability at levels not seen for a decade.. Locator: p.6.",75,High,none,stated,adequate,directional,
Janus Henderson Investors,,Market GPS Investment Outlook Mid-Year 2026,https://cdn.janushenderson.com/webdocs/Janus_Henderson_MarketGPS_Investment_Outlook_Mid-Year_2026.pdf,Cyclicals,Equities - Sector,"Equities - Sectors, Factors, Thematics",Equities,O,"Janus Henderson sees cyclical sector exposure as an attractive differentiator against tech-heavy U.S. exposure. Evidence: Investor considerations panel: ""An attractive mix of growth- and value-oriented sectors: Greater weightings toward cyclical sectors – such as financials, industrials, energy, and materials – could offer differentiated returns while complementing tech-heavy U.S. exposure."". Locator: p.6 — 'Investor considerations' panel.",75,High,none,stated,adequate,directional,
Janus Henderson Investors,,Market GPS Investment Outlook Mid-Year 2026,https://cdn.janushenderson.com/webdocs/Janus_Henderson_MarketGPS_Investment_Outlook_Mid-Year_2026.pdf,Defence/Aerospace,Equities - Sector,"Equities - Sectors, Factors, Thematics",Equities,O,"Janus Henderson is constructive on defense firms because the rearmament cycle is framed as a multi-year tailwind. Evidence: Investor considerations panel: ""The compelling case for Europe: The rearmament cycle presents a multi-year tailwind for well-positioned defense firms."". Locator: p.6 — 'Investor considerations' panel.",75,High,none,stated,adequate,directional,
Janus Henderson Investors,,Market GPS Investment Outlook Mid-Year 2026,https://cdn.janushenderson.com/webdocs/Janus_Henderson_MarketGPS_Investment_Outlook_Mid-Year_2026.pdf,Europe Equities - Financials,Equities - Country + Sector,"Equities - Sectors, Factors, Thematics",Equities,O,"Janus Henderson favors European financials because banks are benefiting from domestic growth and deregulation. Evidence: Investor considerations panel: ""European banks are benefiting from a focus on domestic growth and deregulation."". Locator: p.6 — 'Investor considerations' panel.",75,High,none,stated,adequate,directional,
Janus Henderson Investors,,Market GPS Investment Outlook Mid-Year 2026,https://cdn.janushenderson.com/webdocs/Janus_Henderson_MarketGPS_Investment_Outlook_Mid-Year_2026.pdf,Securitized/Structured (ABS/MBS/CDS/Swaps/CLOs),Fixed Income - Specialty,Fixed Income - Credit & Specialty,Fixed Income,O,"Janus Henderson favors securitized credit for resilient income, yield, and duration targeting in a hawkish-rate backdrop. Evidence: For investors seeking resilient income, securitized credit presents a robust asset mix to help meet yield and duration targets.. Locator: p.7.",75,High,none,stated,adequate,directional,
Janus Henderson Investors,,Market GPS Investment Outlook Mid-Year 2026,https://cdn.janushenderson.com/webdocs/Janus_Henderson_MarketGPS_Investment_Outlook_Mid-Year_2026.pdf,Duration - Short,Fixed Income - Duration,Fixed Income - General,Fixed Income,O,"Janus Henderson prefers lower-duration exposure because it offers income with less rate sensitivity than long-duration aggregate benchmarks. Evidence: Yield relative to duration risk chart shows securitized sectors clustered by the orange arrow labeled ""Higher yield, lower duration,"" while Global Agg and U.S. Agg are labeled ""longer-duration, lower-spread sectors."". Locator: p.7 — 'Yield relative to duration risk' chart.",75,High,none,stated,adequate,directional,
Janus Henderson Investors,,Market GPS Investment Outlook Mid-Year 2026,https://cdn.janushenderson.com/webdocs/Janus_Henderson_MarketGPS_Investment_Outlook_Mid-Year_2026.pdf,Credit - General / Multi-Sector / Broad,Fixed Income - Investment Grade,Fixed Income - Credit & Specialty,Fixed Income,O,"Janus Henderson favors multi-sector credit because flexible rotation across sectors and structures can generate income without uncompensated risk. Evidence: Whereas an inflexible allocation grows more costly when volatility rises, a multi-sector approach that is able to swiftly rotate across sectors, regions, and structures may be better positioned to generate income without taking uncompensated risk.. Locator: p.8.",75,High,none,stated,adequate,directional,
Janus Henderson Investors,,Market GPS Investment Outlook Mid-Year 2026,https://cdn.janushenderson.com/webdocs/Janus_Henderson_MarketGPS_Investment_Outlook_Mid-Year_2026.pdf,High Quality Issuers,Fixed Income - Investment Grade,Fixed Income - Credit & Specialty,Fixed Income,O,"Janus Henderson favors higher-quality credit exposure as dispersion and tight spreads require selectivity. Evidence: Investor considerations panel: ""The predominant theme within corporate credit continues to be dispersion, whereby avoiding troubled sectors and staying up in quality is key to navigating a volatile environment."". Locator: p.8 — 'Investor considerations' panel.",75,High,none,stated,adequate,directional,
Janus Henderson Investors,,Market GPS Investment Outlook Mid-Year 2026,https://cdn.janushenderson.com/webdocs/Janus_Henderson_MarketGPS_Investment_Outlook_Mid-Year_2026.pdf,Structured Products,Alts - HFs,Alts - Hedge Funds,Alternatives,O,"Janus Henderson favors structured products such as ELNs as enhanced-income complements with defined downside-risk parameters. Evidence: Investor considerations panel: ""The structured product lever: Bond and equity derivative hybrids, such as ELNs, typically seek enhanced income generation within a clearly defined set of parameters to mitigate downside risk. For investors seeking to align risk tolerance with income needs, these vehicles offer a strong complement to traditional income sources."". Locator: p.9 — 'Investor considerations' panel.",75,High,none,stated,adequate,directional,
Janus Henderson Investors,,Market GPS Investment Outlook Mid-Year 2026,https://cdn.janushenderson.com/webdocs/Janus_Henderson_MarketGPS_Investment_Outlook_Mid-Year_2026.pdf,Private Credit/Debt,Alts - Private Credit,Alts - Private Equity & Credit,Alternatives,O,"Janus Henderson is constructive on private credit access while noting risk profiles vary widely across the asset class. Evidence: Investor considerations panel: ""Private markets made accessible: Allocations to private credit have accelerated, yet risk profiles vary widely across the asset class."". Locator: p.9 — 'Investor considerations' panel. Checker: evidence_strength thin — quoted evidence supports the view only just; confidence capped below High and review required. Checker: checker evidence_strength is thin; confidence capped below High and review required.",74,Medium,review,stated,thin,directional,
Janus Henderson Investors,,Market GPS Investment Outlook Mid-Year 2026,https://cdn.janushenderson.com/webdocs/Janus_Henderson_MarketGPS_Investment_Outlook_Mid-Year_2026.pdf,PD - Direct Lending,Alts - Private Credit,Alts - Private Equity & Credit,Alternatives,O,"Janus Henderson frames direct lending as an accessible, higher-yielding private-market exposure for diversification. Evidence: Investor considerations panel: ""Interval funds provide more accessibility to less-liquid, typically higher-yielding assets, including direct lending and asset-backed finance."". Locator: p.9 — 'Investor considerations' panel. Checker: evidence_strength thin — quoted evidence supports the view only just; confidence capped below High and review required. Checker: checker evidence_strength is thin; confidence capped below High and review required.",74,Medium,review,stated,thin,directional,
Janus Henderson Investors,,Market GPS Investment Outlook Mid-Year 2026,https://cdn.janushenderson.com/webdocs/Janus_Henderson_MarketGPS_Investment_Outlook_Mid-Year_2026.pdf,PD - Asset-Based/Asset-Backed,Alts - Private Credit,Alts - Private Equity & Credit,Alternatives,O,"Janus Henderson frames asset-backed finance as an accessible, higher-yielding private-market exposure for diversification. Evidence: Investor considerations panel: ""Interval funds provide more accessibility to less-liquid, typically higher-yielding assets, including direct lending and asset-backed finance."". Locator: p.9 — 'Investor considerations' panel. Checker: evidence_strength thin — quoted evidence supports the view only just; confidence capped below High and review required. Checker: checker evidence_strength is thin; confidence capped below High and review required.",74,Medium,review,stated,thin,directional,
State Street,29/06/2026,Market Signals and Shifts: Midyear update,https://www.statestreet.com/us/en/insights/market-signals-and-shifts-midyear-update-2026,Equities - General,Asset Allocation - Broad,Asset Allocation,Equities,U,"State Street's visual forecast has equity returns trailing bond returns over the next 12 months, making the equity side underweight on a relative basis. Evidence: Figure 2 histogram shows forecasts of equity-bond returns with a dashed average prediction line at -5.8%.. Locator: p.6 — 'Figure 2: What will happen to equity-bond returns in the next 12-months'.",86,High,none,stated,adequate,explicit_dial,
State Street,29/06/2026,Market Signals and Shifts: Midyear update,https://www.statestreet.com/us/en/insights/market-signals-and-shifts-midyear-update-2026,Fixed Income - General/Global,Asset Allocation - Broad,Asset Allocation,Fixed Income,U,"State Street says higher-for-longer policy is feeding sustained weakness in fixed income and duration through institutional flow measures. Evidence: sustained weakness for fixed income and duration. Locator: p.11. Arbiter: Rule 2 (specific beats general): candidates 0 and 1 only imply a bond-favorable stance indirectly, via a relative equity-vs-bond return forecast comparison, requiring an inferential step to read as a fixed-income call; candidate 2 names 'fixed income and duration' directly, explicitly addressing the same leaf, so its underweight stands over the inferred read.",75,High,review,stated,adequate,directional,
State Street,29/06/2026,Market Signals and Shifts: Midyear update,https://www.statestreet.com/us/en/insights/market-signals-and-shifts-midyear-update-2026,Alternatives - General,Asset Allocation - Broad,Asset Allocation,Alternatives,O,"State Street recommends hedging to improve resilience and explicitly includes alternative strategies among the tools for doing so. Evidence: hedge accordingly to boost portfolio resilience. Locator: p.6. Checker: unconfirmed (Quote mentions hedging generally, not alternatives specifically; attribution to Alternatives relies on reasoning.).",74,Medium,review,stated,thin,directional,
State Street,29/06/2026,Market Signals and Shifts: Midyear update,https://www.statestreet.com/us/en/insights/market-signals-and-shifts-midyear-update-2026,IT/Tech/Telecomms (inc. AI),Equities - Sector,"Equities - Sectors, Factors, Thematics",Equities,O,The equity section says positioning is being increased in IT stocks as the narrow rally continues to be led by technology. Evidence: significantly increasing their off-benchmark positions in IT stocks. Locator: p.7.,72,Medium,review,stated,decisive,implied,
State Street,29/06/2026,Market Signals and Shifts: Midyear update,https://www.statestreet.com/us/en/insights/market-signals-and-shifts-midyear-update-2026,Consumer Discretionary,Equities - Sector,"Equities - Sectors, Factors, Thematics",Equities,U,State Street flags consumer discretionary as the leading source of earnings downgrades as demand destruction fears rise. Evidence: Consumer discretionary is leading the downgrades. Locator: p.7. Checker: evidence_strength thin — quoted evidence supports the view only just; confidence capped below High and review required. Checker: checker evidence_strength is thin; confidence capped below High and review required.,74,Medium,review,stated,thin,directional,
State Street,29/06/2026,Market Signals and Shifts: Midyear update,https://www.statestreet.com/us/en/insights/market-signals-and-shifts-midyear-update-2026,Cyclicals/defensives,Equities - Sector,"Equities - Sectors, Factors, Thematics",Equities,U,"State Street says investors are cutting both cyclicals and defensives, which maps to an underweight portfolio-action signal. Evidence: reducing positions in cyclicals and defensives. Locator: p.7.",72,Medium,review,stated,decisive,implied,
State Street,29/06/2026,Market Signals and Shifts: Midyear update,https://www.statestreet.com/us/en/insights/market-signals-and-shifts-midyear-update-2026,US Equities,Equities - DMs,Equities - Geography,Equities,O,"The regional positioning chart shows US equities as the clearest positive off-benchmark holding. Evidence: US current green triangle is above zero off-benchmark holdings, around +0.8%.. Locator: p.8 — 'Figure 4: US becomes a magnet for institutional investors ... again'.",86,High,none,stated,adequate,explicit_dial,
State Street,29/06/2026,Market Signals and Shifts: Midyear update,https://www.statestreet.com/us/en/insights/market-signals-and-shifts-midyear-update-2026,Japan Equities,Equities - DMs,Equities - Geography,Equities,O,The regional positioning chart places Japan modestly above benchmark. Evidence: Japan current green triangle sits slightly above zero off-benchmark holdings.. Locator: p.8 — 'Figure 4: US becomes a magnet for institutional investors ... again'.,86,High,none,stated,adequate,explicit_dial,
State Street,29/06/2026,Market Signals and Shifts: Midyear update,https://www.statestreet.com/us/en/insights/market-signals-and-shifts-midyear-update-2026,Asia ex-Japan Equities,Equities - Geo,Equities - Geography,Equities,U,"The chart shows Pacific ex-Japan equities below benchmark, indicating an underweight regional allocation. Evidence: Pacific ex-Japan current green triangle is below zero off-benchmark holdings.. Locator: p.8 — 'Figure 4: US becomes a magnet for institutional investors ... again'.",86,High,none,stated,adequate,explicit_dial,
State Street,29/06/2026,Market Signals and Shifts: Midyear update,https://www.statestreet.com/us/en/insights/market-signals-and-shifts-midyear-update-2026,UK Equities,Equities - DMs,Equities - Geography,Equities,U,The regional positioning chart shows UK equities below benchmark. Evidence: UK current green triangle is below zero off-benchmark holdings.. Locator: p.8 — 'Figure 4: US becomes a magnet for institutional investors ... again'.,86,High,none,stated,adequate,explicit_dial,
State Street,29/06/2026,Market Signals and Shifts: Midyear update,https://www.statestreet.com/us/en/insights/market-signals-and-shifts-midyear-update-2026,Europe Equities,Equities - DMs,Equities - Geography,Equities,U,"The chart shows Europe ex-UK equities below benchmark, consistent with the prose saying Europe is being cut. Evidence: Europe ex-UK current green triangle is below zero off-benchmark holdings.. Locator: p.8 — 'Figure 4: US becomes a magnet for institutional investors ... again'.",86,High,none,stated,adequate,explicit_dial,
State Street,29/06/2026,Market Signals and Shifts: Midyear update,https://www.statestreet.com/us/en/insights/market-signals-and-shifts-midyear-update-2026,Emerging Markets Equities,Equities - EMs,Equities - Geography,Equities,U,"The positioning chart shows emerging markets as the most negative regional off-benchmark holding. Evidence: EM current green triangle is well below zero off-benchmark holdings, around -0.6%.. Locator: p.8 — 'Figure 4: US becomes a magnet for institutional investors ... again'.",86,High,none,stated,adequate,explicit_dial,
State Street,29/06/2026,Market Signals and Shifts: Midyear update,https://www.statestreet.com/us/en/insights/market-signals-and-shifts-midyear-update-2026,US Mega-Cap (Tech),Equities - DM Caps,Equities - Geography,Equities,O,State Street explicitly keeps its positive stance on US large-cap technology because the rally remains technology-led and alternatives are limited. Evidence: We stick with US large-cap technology. Locator: p.8.,75,High,none,stated,adequate,directional,
State Street,29/06/2026,Market Signals and Shifts: Midyear update,https://www.statestreet.com/us/en/insights/market-signals-and-shifts-midyear-update-2026,South Korea Equities,Equities - EMs,Equities - Geography,Equities,O,"South Korea is named as a positive exception in EM because of its exposure to the technology story, aligning with the selective Asian technology tilt. Evidence: South Korea and Taiwan stand out as the only real exception. Locator: p.8. Basis: inferred — single-step analyst inference from macro/thematic prose; segregated one band below stated calls, review required.",68,Medium,review,inferred,adequate,implied,
State Street,29/06/2026,Market Signals and Shifts: Midyear update,https://www.statestreet.com/us/en/insights/market-signals-and-shifts-midyear-update-2026,Taiwan Equities,Equities - EMs,Equities - Geography,Equities,O,"Taiwan is named as a positive exception in EM because of its exposure to the technology story, aligning with the selective Asian technology tilt. Evidence: South Korea and Taiwan stand out as the only real exception. Locator: p.8. Basis: inferred — single-step analyst inference from macro/thematic prose; segregated one band below stated calls, review required.",68,Medium,review,inferred,adequate,implied,
State Street,29/06/2026,Market Signals and Shifts: Midyear update,https://www.statestreet.com/us/en/insights/market-signals-and-shifts-midyear-update-2026,Duration,Fixed Income - Duration,Fixed Income - General,Fixed Income,U,"State Street's rates section points to a more hawkish policy regime and higher-for-longer rates, implying a negative view on duration. Evidence: holding rates higher for longer. Locator: p.10. Evidence check: page p.10 flagged scrambled (two-column interleave); prose verbatim check degraded to key-token overlap (confidence capped, review required). Basis: inferred — single-step analyst inference from macro/thematic prose; segregated one band below stated calls, review required.",68,Medium,review,inferred,adequate,implied,
State Street,29/06/2026,Market Signals and Shifts: Midyear update,https://www.statestreet.com/us/en/insights/market-signals-and-shifts-midyear-update-2026,Duration - Long,Fixed Income - Duration,Fixed Income - General,Fixed Income,U,State Street keeps a cautious view on long-end duration because elevated curve risk limits the scope for sustained duration rallies. Evidence: risks at the long-end of fixed income curves remain elevated. Locator: p.12.,75,High,none,stated,adequate,directional,
State Street,29/06/2026,Market Signals and Shifts: Midyear update,https://www.statestreet.com/us/en/insights/market-signals-and-shifts-midyear-update-2026,US Treasuries,Fixed Income - Sovereigns North America,Fixed Income - Rates & Sovereigns,Fixed Income,U,State Street reads weak duration-weighted flows into US Treasuries as a negative demand signal for the asset class. Evidence: flows into US Treasuries remain weak. Locator: p.11.,85,High,none,stated,adequate,directional,
State Street,29/06/2026,Market Signals and Shifts: Midyear update,https://www.statestreet.com/us/en/insights/market-signals-and-shifts-midyear-update-2026,Europe Duration,Fixed Income - Sovereigns Europe,Fixed Income - Rates & Sovereigns,Fixed Income,U,"State Street says Eurozone duration demand remains constrained despite faring slightly better than US Treasuries, with above-target inflation and fiscal issuance as headwinds. Evidence: demand is still constrained. Locator: p.11. Checker: unconfirmed (Same generic 'demand is still constrained' fragment; quote does not itself identify Europe/Eurozone.).",74,Medium,review,stated,thin,directional,
State Street,29/06/2026,Market Signals and Shifts: Midyear update,https://www.statestreet.com/us/en/insights/market-signals-and-shifts-midyear-update-2026,Japan Duration,Fixed Income - Sovereigns APAC,Fixed Income - Rates & Sovereigns,Fixed Income,U,State Street says Japan's gradual policy normalization has reduced investor willingness to take duration risk despite still-accommodative policy. Evidence: reduced the willingness of investors to absorb duration risk. Locator: p.11. Checker: unconfirmed (Quote about reduced willingness to absorb duration risk does not itself name Japan; attribution relies on reasoning.).,74,Medium,review,stated,adequate,directional,
