Firm,Source,Sub-Asset Class,View (proposed),What happened,Explanation,Evidence / notes
Janus Henderson Investors,Multi-Sector Credit Asset Allocation Perspectives: Defensive carry amid asymmetric risks,Securitized/Structured (ABS/MBS/CDS/Swaps/CLOs),O,Conflicting views — none kept,"Two views for this asset disagreed and could not be reconciled automatically, so neither was kept. A human should decide which is correct.","multiple views survived validation for the same source/group and leaf; arbiter: These six candidates are not restatements of one stance but genuinely distinct instruments (RMBS, ABS, CLO-AAA, CLO-BBB, and a general securitized-vs-corporates preference) bundled into a single taxonomy leaf, and their published levels genuinely disagree in sign, not just intensity: RMBS (+1) and ABS (+1) are explicit positive dials, the general commentary favors securitized credit broadly, but the CLO section's own printed score nets to neutral (0) precisely because it is a two-sided path — AAA scored +0.5 against BBB scored -1 (rule: 'a two-sided path nets to N ... with both sides quoted'). No single candidate speaks for the whole combined leaf: picking any one O candidate would erase the explicit CLO-BBB caution the house itself prints, and picking the CLO-overall N would erase the equally explicit RMBS/ABS overweight scores on other components of the same leaf. This is rule 5's 'source genuinely holds both views at once' with no primary stance across the bundled components, so winning_index is null and the conflict should route to unresolved-conflict for analyst review."
Janus Henderson Investors,Market GPS Investment Outlook Mid-Year 2026,EAFE/Int'l/Developed ex-US,O,Duplicate — already covered,The same view for this asset appears in another of this firm's documents; it was kept once. No action needed.,same view already kept from p.3 — 'The following themes' side panel
State Street,Market Signals and Shifts: Midyear update,Equities - General,U,Duplicate — already covered,The same view for this asset appears in another of this firm's documents; it was kept once. No action needed.,same view already kept from p.6 — 'Figure 2: What will happen to equity-bond returns in the next 12-months'
State Street,Market Signals and Shifts: Midyear update,Fixed Income - General/Global,O,Conflicting views — other call kept,Two documents disagreed; the more current or more specific call was kept. Review if the kept call looks wrong.,"Rule 2 (specific beats general): candidates 0 and 1 only imply a bond-favorable stance indirectly, via a relative equity-vs-bond return forecast comparison, requiring an inferential step to read as a fixed-income call; candidate 2 names 'fixed income and duration' directly, explicitly addressing the same leaf, so its underweight stands over the inferred read."
State Street,Market Signals and Shifts: Midyear update,Fixed Income - General/Global,O,Conflicting views — other call kept,Two documents disagreed; the more current or more specific call was kept. Review if the kept call looks wrong.,"Rule 2 (specific beats general): candidates 0 and 1 only imply a bond-favorable stance indirectly, via a relative equity-vs-bond return forecast comparison, requiring an inferential step to read as a fixed-income call; candidate 2 names 'fixed income and duration' directly, explicitly addressing the same leaf, so its underweight stands over the inferred read."
RBC Wealth,Bond markets seeing the forest for the trees,Credit - General / Multi-Sector / Broad,U,Duplicate — already covered,The same view for this asset appears in another of this firm's documents; it was kept once. No action needed.,same view already kept from p.5
RBC Wealth,The Unstoppables,AI,O,Duplicate — already covered,The same view for this asset appears in another of this firm's documents; it was kept once. No action needed.,same view already kept from p.11 — 'Investable ideas' box under defence spending section
RBC Wealth,The Unstoppables,AI,O,Duplicate — already covered,The same view for this asset appears in another of this firm's documents; it was kept once. No action needed.,same view already kept from p.11 — 'Investable ideas' box under defence spending section
RBC Wealth,The Unstoppables,Energy Transition/Clean Energy,O,Duplicate — already covered,The same view for this asset appears in another of this firm's documents; it was kept once. No action needed.,same view already kept from p.2
RBC Wealth,The Unstoppables,Defence/Aerospace,O,Duplicate — already covered,The same view for this asset appears in another of this firm's documents; it was kept once. No action needed.,same view already kept from p.2
RBC Wealth,The Unstoppables,Defence/Aerospace,O,Duplicate — already covered,The same view for this asset appears in another of this firm's documents; it was kept once. No action needed.,same view already kept from p.2
RBC Wealth,The Unstoppables,Construction,O,Duplicate — already covered,The same view for this asset appears in another of this firm's documents; it was kept once. No action needed.,same view already kept from p.4 — 'The gray wave' Investable ideas box
State Street,Market Signals and Shifts: Midyear update,UK Duration,U,"Duplicate — same call, related asset",This repeats a view already kept for a closely related asset from the same piece of text; it was kept once to avoid double-counting. No action needed.,"same source, view, and evidence as kept leaf 'Europe Duration'; this leaf is not named in the shared evidence (cross-leaf fan-out)"
RBC Wealth,The Unstoppables,Critical Minerals/Rare Earths,O,"Duplicate — same call, related asset",This repeats a view already kept for a closely related asset from the same piece of text; it was kept once to avoid double-counting. No action needed.,"same source, view, and evidence as kept leaf 'Copper/Industrial', 'Uranium'; this leaf is not named in the shared evidence (cross-leaf fan-out)"
Janus Henderson Investors,Market GPS Investment Outlook Mid-Year 2026,Duration - Short,O,Duplicate — already covered,The same view for this asset appears in another of this firm's documents; it was kept once. No action needed.,same source and leaf already kept in the frozen split-1 output; frozen row wins during rescore collision handling
Janus Henderson Investors,Market GPS Investment Outlook Mid-Year 2026,Securitized/Structured (ABS/MBS/CDS/Swaps/CLOs),O,Duplicate — already covered,The same view for this asset appears in another of this firm's documents; it was kept once. No action needed.,same source and leaf already kept in the frozen split-1 output; frozen row wins during rescore collision handling
