reason_code,message,source_id,chunk_id,sub_asset_raw,sub_asset_class,view,taxonomy_match,evidence_kind,evidence_quote,locator,reasoning,basis,checker_strength,call_language
unresolved_conflict,"multiple views survived validation for the same source/group and leaf; arbiter: These six candidates are not restatements of one stance but genuinely distinct instruments (RMBS, ABS, CLO-AAA, CLO-BBB, and a general securitized-vs-corporates preference) bundled into a single taxonomy leaf, and their published levels genuinely disagree in sign, not just intensity: RMBS (+1) and ABS (+1) are explicit positive dials, the general commentary favors securitized credit broadly, but the CLO section's own printed score nets to neutral (0) precisely because it is a two-sided path — AAA scored +0.5 against BBB scored -1 (rule: 'a two-sided path nets to N ... with both sides quoted'). No single candidate speaks for the whole combined leaf: picking any one O candidate would erase the explicit CLO-BBB caution the house itself prints, and picking the CLO-overall N would erase the equally explicit RMBS/ABS overweight scores on other components of the same leaf. This is rule 5's 'source genuinely holds both views at once' with no primary stance across the bundled components, so winning_index is null and the conflict should route to unresolved-conflict for analyst review.",janus-henderson-investors-multi-sector-credit-asset-allocation-perspectives-defensive-carry-amid-asymmetric-risks,p1-5,Asset-backed securities (ABS),Securitized/Structured (ABS/MBS/CDS/Swaps/CLOs),O,semantic,visual,"Asset-backed securities (ABS) score grid is shaded at +1; score rationale shows ""(+1 new | +1 prior) Maintained positive as ABS continues to offer defensive carry"".",p.5 — 'Asset-backed securities (ABS)' score grid,Janus Henderson maintains a positive ABS score because the sector offers defensive carry with stable fundamentals and improving new issue valuations.,stated,,explicit_dial
duplicate_same_view,same view already kept from p.3 — 'The following themes' side panel,janus-henderson-investors-market-gps-investment-outlook-mid-year-2026,p6-10,equities outside of the U.S.,EAFE/Int'l/Developed ex-US,O,semantic,prose,"While U.S. markets should continue to benefit from powerful secular themes, other markets offer a more balanced investable universe that can enhance overall diversification.",p.6,Janus Henderson favors ex-U.S. equities as a more balanced investable universe that can diversify U.S. market exposure.,stated,,directional
duplicate_same_view,same view already kept from p.6 — 'Figure 2: What will happen to equity-bond returns in the next 12-months',state-street-market-signals-and-shifts-midyear-update,p1-5,equities,Equities - General,U,semantic,prose,"An average of all these forecasts suggests that equities may underperform bonds by 6
percent in the coming 12 months (see Figure 2).",p.5,"State Street's RBP average forecast points to equities underperforming bonds by 6 percent over the next 12 months, making broad equities the disfavored side despite wide dispersion in outcomes.",stated,,directional
arbitrated_out,"Rule 2 (specific beats general): candidates 0 and 1 only imply a bond-favorable stance indirectly, via a relative equity-vs-bond return forecast comparison, requiring an inferential step to read as a fixed-income call; candidate 2 names 'fixed income and duration' directly, explicitly addressing the same leaf, so its underweight stands over the inferred read.",state-street-market-signals-and-shifts-midyear-update,p1-5,bonds,Fixed Income - General/Global,O,semantic,prose,"An average of all these forecasts suggests that equities may underperform bonds by 6
percent in the coming 12 months (see Figure 2).",p.5,"State Street's RBP average forecast favors bonds relative to equities over the coming 12 months, with the positive bond read coming from the explicit equity-bond underperformance comparison.",stated,,directional
arbitrated_out,"Rule 2 (specific beats general): candidates 0 and 1 only imply a bond-favorable stance indirectly, via a relative equity-vs-bond return forecast comparison, requiring an inferential step to read as a fixed-income call; candidate 2 names 'fixed income and duration' directly, explicitly addressing the same leaf, so its underweight stands over the inferred read.",state-street-market-signals-and-shifts-midyear-update,p6-10,equity-bond returns,Fixed Income - General/Global,O,semantic,visual,Figure 2 histogram shows forecasts of equity-bond returns with a dashed average prediction line at -5.8%.,p.6 — 'Figure 2: What will happen to equity-bond returns in the next 12-months',A negative equity-minus-bond return forecast implies bonds are favored relative to equities.,stated,,explicit_dial
duplicate_same_view,same view already kept from p.5,rbc-wealth-bond-markets-seeing-the-forest-for-the-trees,p6-9,credit,Credit - General / Multi-Sector / Broad,U,semantic,prose,"Therefore, we hold a cautious outlook on credit, but absent a recession the asset class should perform reasonably well, and at the end of the day, extra yield is extra yield.",p.6,"RBC holds a cautious outlook on credit because excess yield over government bonds is thin, while noting the asset class should still perform reasonably well absent recession.",stated,,directional
duplicate_same_view,same view already kept from p.11 — 'Investable ideas' box under defence spending section,rbc-wealth-the-unstoppables,p1-5,AI spending,AI,O,semantic,prose,"AI may prove to be a textbook illustration of Amara’s Law. Near-term expectations seem to have outpaced reality, though the underlying improvements in AI models suggest to us that the long-term impact could still be underestimated. ... Spending on the development and application of AI will accelerate further from today’s already lofty levels as tech companies – from “mega” to “mini” – struggle to avoid being left irretrievably behind.",p.5,RBC is positive on the AI theme because model progress and accelerating AI-related spending support underestimated long-term upside.,stated,,directional
duplicate_same_view,same view already kept from p.11 — 'Investable ideas' box under defence spending section,rbc-wealth-the-unstoppables,p6-10,AI equipment manufacturers and the computer chip complex,AI,O,semantic,visual,"Investable ideas: AI equipment manufacturers and the computer chip complex have been the clear beneficiaries of the new technology, with their stock valuations having expanded markedly.",p.7 — 'Investable ideas' box,RBC identifies AI equipment and chip companies as clear beneficiaries of the AI theme despite noting valuation expansion.,stated,,directional
duplicate_same_view,same view already kept from p.2,rbc-wealth-the-unstoppables,p6-10,"renewable energy equipment manufacturers; providers of energy storage, energy efficiency, and/or smart grid solutions",Energy Transition/Clean Energy,O,semantic,visual,"Investable ideas: Renewable energy equipment manufacturers; Providers of energy storage, energy efficiency, and/or smart grid solutions",p.9 — 'Investable ideas' box,"RBC lists renewable equipment, storage, efficiency, and smart-grid providers as investable beneficiaries of the renewables and electrification theme.",stated,,directional
duplicate_same_view,same view already kept from p.2,rbc-wealth-the-unstoppables,p6-10,defence spending,Defence/Aerospace,O,semantic,prose,Higher defence spending should persist for years largely due to the ongoing transitioning from a U.S.-led Western unipolar order to what is often described as a multipolar or polycentric world order.,p.10,"RBC expects defence spending to persist for years, implying a positive backdrop for defence and aerospace exposure.",inferred,,implied
duplicate_same_view,same view already kept from p.2,rbc-wealth-the-unstoppables,p11-15,"Aerial and sea drones and other autonomous vehicles; artillery complexes; standoff precision air-launched cruise missiles and high-capacity guided bombs; offensive ground- and sea-based ballistic, cruise, and strategic missiles; missile and drone defence; ISR systems",Defence/Aerospace,O,semantic,visual,"Investable ideas box lists aerial and sea drones and other autonomous vehicles; artillery complexes; standoff precision air-launched cruise missiles and high-capacity guided bombs; offensive ground- and sea-based ballistic, cruise, and strategic missiles; missile and drone defence; intelligence, surveillance, and reconnaissance systems.",p.11 — 'Investable ideas' box under defence spending section,"RBC presents multiple weapons, missile-defence, drone, and ISR categories as investable ideas tied to rebuilding stockpiles and future high demand for advanced precision weapons systems.",stated,,directional
duplicate_same_view,same view already kept from p.4 — 'The gray wave' Investable ideas box,rbc-wealth-the-unstoppables,p6-10,Specialised engineering and construction businesses,Construction,O,semantic,visual,Investable ideas: Specialised engineering and construction businesses.,p.10 — 'Investable ideas' box,RBC lists specialised engineering and construction businesses as beneficiaries of the electrification buildout.,stated,,directional
duplicate_cross_leaf,"same source, view, and evidence as kept leaf 'Europe Duration'; this leaf is not named in the shared evidence (cross-leaf fan-out)",state-street-market-signals-and-shifts-midyear-update,p11-15,UK,UK Duration,U,semantic,prose,demand is still constrained,p.11,"State Street says UK duration demand remains constrained despite faring slightly better than US Treasuries, with above-target inflation and fiscal issuance as headwinds.",stated,,directional
duplicate_cross_leaf,"same source, view, and evidence as kept leaf 'Copper/Industrial', 'Uranium'; this leaf is not named in the shared evidence (cross-leaf fan-out)",rbc-wealth-the-unstoppables,p6-10,"nickel, lithium, cobalt",Critical Minerals/Rare Earths,O,semantic,visual,"Investable ideas: Raw materials such as copper, nickel, lithium, cobalt, and uranium.",p.10 — 'Investable ideas' box,"RBC names nickel, lithium, and cobalt as raw-material beneficiaries of the electrification theme.",stated,,directional
duplicate_same_view,same source and leaf already kept in the frozen split-1 output; frozen row wins during rescore collision handling,janus-henderson-investors-market-gps-investment-outlook-mid-year-2026,p1-5,shorter-duration instruments,Duration - Short,O,semantic,prose,"This implies fixed income portfolios may benefit from a focus on shorter-duration instruments and superior income, rather than overall total return.",p.3,Janus Henderson favors shorter-duration fixed income because it sees inflation as a larger risk than consensus expects.,stated,adequate,directional
duplicate_same_view,same source and leaf already kept in the frozen split-1 output; frozen row wins during rescore collision handling,janus-henderson-investors-market-gps-investment-outlook-mid-year-2026,p1-5,securitized strategies,Securitized/Structured (ABS/MBS/CDS/Swaps/CLOs),O,semantic,prose,"Enhanced cash, securitized strategies, and opportunistic fixed income strategies seem most relevant for a potentially changing inflation paradigm.",p.3,Janus Henderson explicitly identifies securitized strategies as relevant for income resilience under a potentially shifting inflation backdrop.,stated,adequate,directional
