Firm,Date,Source,MR Link,Sub-Asset Class,Asset Class Category,Canva Groupings,Asset Class,View,Weightings,Full Commentary
Aberdeen Investments,3/10/2026,Emerging Markets Q2 2026 Outlook: Shifting Sands,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=emerging-markets-outlook-shifting-sands,Emerging Markets - Sovereigns,Fixed Income - Sovereigns,Fixed Income - Rates & Sovereigns,Fixed Income,U,Underweight,"Fiscal consolidation has proved elusive in Colombia, contributing to bond selloffs. The presidential race between Petro's chosen successor Iván Cepeda and right-wing candidate Abelardo de la Espriella remains competitive, adding policy uncertainty to an already fragile fiscal picture. Market-friendly Finance Minister Sri Mulyani's departure following deadly protests signals a political shift. Fundraising at the sovereign wealth fund via patriot bonds and increased pressure on Bank Indonesia suggest growing fiscal populism. The 3% of GDP budget deficit limit may hold, but spending through other means is expanding. Romania shows the highest fiscal slippage risk in EM at nearly 2% of potential GDP. Fiscal consolidation remains elusive despite IMF expectations for improvement. Aberdeen sees Romania as the clearest negative outlier in the EM sovereign space."
Aberdeen Investments,3/10/2026,Emerging Markets Q2 2026 Outlook: Shifting Sands,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=emerging-markets-outlook-shifting-sands,Thailand Equities,Equities - EMs,Equities - Geography,Equities,U,Underweight,"The minority government faces a potential no-confidence vote, border tensions with Cambodia persist, and economic growth remains weak. Fiscal slippage potential is high even with a fiscally conservative government in power. Thai elections are yet to be scheduled, adding to the uncertainty."
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,US Treasuries,Fixed Income - Sovereigns North America,Fixed Income - Rates & Sovereigns,Fixed Income,O,Overweight,Markets have overpriced the tightening response to the oil shock. AB expects yields to decline over time as the Fed looks through headline inflation from oil and eventually resumes gradual rate cuts. Safe-haven status supports the allocation. 10-year yields forecast at 4.00% for both 2026 and 2027.
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,USD,Currencies,Currencies,Currencies,O,Overweight,"The dollar is expected to benefit from safe-haven flows while the conflict in Iran persists. Europe and Asia are more reliant on Middle East energy exports, making the US relatively less exposed to supply disruption. The dollar's path post-conflict is less clear."
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Oil,Alts - Commodities,Commodities,Alternatives,O,Overweight,"Oil prices expected to remain notably higher than pre-war levels due to infrastructure damage and persistent Middle East tension. Brent at $103.9/bbl, up 69% YTD. WTI surged from $67 to above $100 in ten days. Duration of elevation is the key variable for the entire macro outlook."
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Japan Equities,Equities - DMs,Equities - Geography,Equities,N,Neutral,"Japan must import almost all its oil, creating direct vulnerability. But expansive fiscal policy is expected to offset the energy shock, allowing domestic demand to continue expanding. Wage and inflation data support further BOJ normalisation. AB forecasts 1.0% growth."
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,China Equities,Equities - EMs,Equities - Geography,Equities,N,Neutral,"Growth stable at 4.5% with the first-ever sub-5% target. Oil reserves cushion the near-term blow, but weak domestic demand and near-deflationary conditions limit upside. PPI remains in deflationary territory. Policymakers focused on supply-side reforms rather than demand stimulus."
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Europe Duration,Fixed Income - Sovereigns Europe,Fixed Income - Rates & Sovereigns,Fixed Income,N,Neutral,"The ECB has remained on hold at neutral and could begin hiking from June if second-round effects emerge. AB is sceptical the ECB will move as aggressively as markets price. Even in a severe scenario, cumulative hikes of ~100bps would be sufficient. Inflation expectations remain well anchored at 2%."
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Cash/Money Markets,Asset Allocation - Broad,Asset Allocation,Fixed Income,N,Neutral,"The easing cycle that characterised 2025 appears mostly spent. If energy prices stabilise, limited additional cuts in the US and UK could bring policy back to a neutral setting. Cash yields remain attractive near-term but offer no duration benefit."
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Europe Equities,Equities - DMs,Equities - Geography,Equities,U,Underweight,Higher energy prices will inevitably drag on growth; the hit could annihilate the positive impact from Germany's fiscal expansion. Growth revised down to 0.8% for 2026. Germany running behind fiscal implementation targets. Spain and periphery continue to outperform but at lower rates.
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,UK Equities,Equities - DMs,Equities - Geography,Equities,U,Underweight,"Stagflationary backdrop with BoE on hold for an extended period. Unemployment already at 5.2% and rising, the economy has lost 75,000 jobs since January 2025, and business confidence is deteriorating. Growth forecast at just 0.7%. Rate at 3.75% remains restrictive."
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Emerging Markets Fixed Income,Fixed Income - Geo,Fixed Income - General,Fixed Income,U,Underweight,"Volatile commodity prices transmitting into higher headline inflation across EM. Capital outflows, currency depreciation and tighter dollar-funding conditions compound pressure. EM ex-China/Russia inflation forecast at 6.2%. Easing cycles at risk of reversal. Oil-importing Asian economies and GCC-remittance-dependent markets most exposed."
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,EM Basket,Currencies,Currencies,Currencies,U,Underweight,"Risk-off dynamics and safe-haven USD flows driving broad EM currency weakness. Oil-importing Asian economies and GCC-remittance-dependent markets particularly exposed. Stronger dollar tightens financial conditions, especially for externally vulnerable economies."
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Japan Govt Bonds,Fixed Income - Sovereigns APAC,Fixed Income - Rates & Sovereigns,Fixed Income,U,Underweight,BOJ expected to raise rates again in coming months. Wage and inflation data support further normalisation. AB forecasts policy rate at 1.00% in 2026 rising to 1.25% in 2027. 10-year yields at 2.25%. Yen weakness likely to persist until the policy framework shifts.
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,Global Equities,Equities - Geo,Equities - Geography,Equities,O,Overweight,"Schroders maintains its positive view on equities, fading near-term geopolitical risks. While volatility may remain elevated due to the Middle East conflict, fundamentals remain supportive. The team has reduced cyclicality, closing the overweight to international value stocks as financials remain vulnerable to rate concerns. Low recession risk underpins the constructive stance."
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,US Equities,Equities - DMs,Equities - Geography,Equities,O,Overweight,"Schroders maintains a positive view on US equities despite recent underperformance, with earnings growth and a healthy consumer underpinning growth. Opportunities in both mega-cap stocks and the broader index. The US is more resilient to a protracted oil price spike as a net oil exporter."
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,Emerging Markets Equities,Equities - EMs,Equities - Geography,Equities,O,Overweight,"Schroders has upgraded EM equities to positive, with a focus on Asia where countries with greater technology sector exposure stand to benefit from AI tailwinds. Korea and Taiwan led EM outperformance in Q1 driven by semiconductor strength."
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,Asia ex-China Equities,Equities - Geo,Equities - Geography,Equities,O,Overweight,"Export-oriented Asian markets benefit from US strength and industrial resilience, with relatively fewer geopolitical concerns than China. Structural AI tailwinds for the semiconductor supply chain in Korea and Taiwan."
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,UK Equities,Equities - DMs,Equities - Geography,Equities,N,Neutral,"Neutral stance on UK equities. Despite potential resilience to AI disruption, few clear growth catalysts and political uncertainty weigh on sentiment. FTSE All-Share posted positive Q1 return helped by energy weighting and weaker sterling, but FTSE 250 underperformed."
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,Europe Equities,Equities - DMs,Equities - Geography,Equities,N,Neutral,Neutral on European equities. Supportive fiscal backdrop offset by energy price sensitivity and large banking sector exposure. Eurozone PMIs slowed to 50.5 in March and inflation rose to 2.5% as the energy shock fed through.
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,Japan Equities,Equities - DMs,Equities - Geography,Equities,N,Neutral,Neutral on Japan. Post-election fiscal support may underpin domestic activity but external headwinds from Middle East conflict and energy prices temper enthusiasm. TOPIX returned 2.1% in USD in Q1.
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,China Equities,Equities - EMs,Equities - Geography,Equities,N,Neutral,"Neutral on China with few near-term growth catalysts. Exports strong but domestic demand weak. Relatively insulated from energy shock given large oil reserves, diversified energy mix and Russian links."
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,US Treasuries,Fixed Income - Sovereigns North America,Fixed Income - Rates & Sovereigns,Fixed Income,U,Underweight,"Negative on US Treasuries, seeing upside risk for yields from persistent energy prices and solid growth. Expects the US 10-year to rise to 4.5%. The Fed held at 3.5%–3.75% and signalled the need for further progress on inflation."
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,UK Gilts,Fixed Income - Sovereigns Europe,Fixed Income - Rates & Sovereigns,Fixed Income,N,Neutral,Neutral on gilts. The oil price rise has reduced the likelihood of previously anticipated rate cuts. March BoE meeting brought a hawkish response with all nine MPC members voting to hold at 3.75%.
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,Euro Govt Bonds,Fixed Income - Sovereigns Europe,Fixed Income - Rates & Sovereigns,Fixed Income,N,Neutral,"Neutral stance. As a major importer of Gulf oil, the region is vulnerable to energy price rises. The ECB left the deposit rate at 2% and stated it is 'well positioned to deal with a major shock.'"
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,Japan Govt Bonds,Fixed Income - Sovereigns APAC,Fixed Income - Rates & Sovereigns,Fixed Income,N,Neutral,Neutral on JGBs. Fiscal expansion supports growth but policy normalisation and global reflation risks temper attractiveness. The BoJ held at 0.75% but warned of energy-driven inflation risks.
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,Inflation-Linked/TIPs,Fixed Income - Sovereigns North America,Fixed Income - Rates & Sovereigns,Fixed Income,N,Neutral,"While inflation has moderated, risks are skewed to a second wave as the Middle East war pushes energy prices higher. Neutral positioning as a hedge against inflationary surprises."
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,EM Debt - Local Currency,Fixed Income - Sovereigns,Fixed Income - Rates & Sovereigns,Fixed Income,O,Overweight,Positive on EM local currency debt. Attractive carry and improving fundamentals support returns. Better debt dynamics relative to DM sovereigns make this a key conviction within fixed income.
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,US IG Credit,Fixed Income - Investment Grade,Fixed Income - Credit & Specialty,Fixed Income,U,Underweight,Negative on US IG. Spreads remain tight with little protection against stagflationary risks and late-cycle issuance. Private credit expansion adds opacity and spillover risk.
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,Europe IG Credit,Fixed Income - Investment Grade,Fixed Income - Credit & Specialty,Fixed Income,N,Neutral,Neutral. Valuations less stretched than the US but greater sensitivity to energy price rises limits conviction.
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,EM Debt - Hard Currency,Fixed Income - Sovereigns,Fixed Income - Rates & Sovereigns,Fixed Income,U,Underweight,Downgraded EM USD debt. Regional exposure to Middle East and Asia means spread widening risk exceeds what current levels reflect.
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,US HY,Fixed Income - High Yield,Fixed Income - Credit & Specialty,Fixed Income,U,Underweight,Downgraded US HY to negative. Exposure to AI-related companies and susceptibility to technical changes. Late-cycle dynamics and potential private credit spillover add further risk.
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,Europe HY,Fixed Income - High Yield,Fixed Income - Credit & Specialty,Fixed Income,U,Underweight,Downgraded European HY to negative. Valuations expensive and the Iran conflict poses risk via energy price sensitivity. BofA ML Euro HY returned -3.5% in USD in Q1.
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,Commodities,Alts - Commodities,Commodities,Alternatives,N,Neutral,"Took profits on broad commodities and downgraded to neutral. After the oil spike, risk shifted from acute to potentially chronic. Waiting for clarity on war duration before re-entering."
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,Gold/Precious,Alts - Commodities,Commodities,Alternatives,O,Overweight,"Positive on gold. Despite recent volatility, medium-term EM central bank buying continues — Malaysia recently increased reserves for the first time since 2018. Key diversifier against fiscal and geopolitical risks."
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,Agriculture/Farmland,Alts - Commodities,Commodities,Alternatives,N,Neutral,"Generationally high grain supply positions agriculture as a commodity laggard, though some sensitivity to Strait of Hormuz closure via fertiliser supply."
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,USD,Currencies,Currencies,Currencies,O,Overweight,Upgraded the dollar. US is less exposed to energy supply constraints as a net oil exporter. Cyclical dynamics provide a near-term tailwind.
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,EUR,Currencies,Currencies,Currencies,U,Underweight,Downgraded the euro to negative. Expected to be the main source of selling as investors rotate to the dollar. Europe has greater sensitivity to the energy price shock.
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,GBP,Currencies,Currencies,Currencies,N,Neutral,Neutral on sterling. Weak macro backdrop and reduced likelihood of BoE rate cuts following energy-driven inflation pressure.
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,CNY,Currencies,Currencies,Currencies,N,Neutral,"Neutral. Inflation has moderated. China is relatively insulated from energy shock via coal reserves, storage and Russian links. But weak domestic demand limits upside."
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,JPY,Currencies,Currencies,Currencies,N,Neutral,Neutral given gradual pace of policy normalisation and broadly balanced near-term currency dynamics.
Schroders,20/03/2026 | 07/04/2026,Our multi-asset investment views – March 2026 | Quarterly markets review - Q1 2026,Done,CHF,Currencies,Currencies,Currencies,N,Neutral,Neutral. Safe-haven support offset by intervention risk and less attractive entry levels.
J.P. Morgan Asset Management,3/26/2026,Global Fixed Income Views 2Q 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-fixed-income-views-2q-2026-1,Short-Dated Bonds,Fixed Income - Duration,Fixed Income - General,Fixed Income,O,Overweight,"The GFICC team identifies front-end government bonds as the most compelling opportunity in fixed income. Short-dated curves have repriced 60-100 bps higher on hawkish central bank rhetoric, creating attractive entry points. Front-end positioning serves a dual purpose: income generation through elevated carry and a natural hedge against a broader derisking event. The team explicitly prefers the front end over the long end."
J.P. Morgan Asset Management,3/26/2026,Global Fixed Income Views 2Q 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-fixed-income-views-2q-2026-1,Short-Dated US Treasuries,Fixed Income - Sovereigns North America,Fixed Income - Rates & Sovereigns,Fixed Income,O,Overweight,"With the fed funds rate at 3.625% and the Fed explicitly on hold until more information about the conflict's impact emerges, the front end of the US Treasury curve offers better risk-reward than the long end. Chair Powell has indicated the vast majority of the FOMC do not see a hike as the base case, anchoring short-dated yields. The 10-year is expected to range 3.75%-4.25%, limiting upside further out the curve."
J.P. Morgan Asset Management,3/26/2026,Global Fixed Income Views 2Q 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-fixed-income-views-2q-2026-1,Securitized/Structured (ABS/MBS/CDS/Swaps/CLOs),Fixed Income - Specialty,Fixed Income - Credit & Specialty,Fixed Income,O,Overweight,Securitized credit is the team's top focus and highest-conviction overweight. The inherent credit enhancement of the securitization structure and the resilience of the US consumer provide comfort during market stress. The team prefers the structural protections embedded in agency MBS and ABS over equivalent-spread corporate credit exposure. This is a structural rather than tactical call — securitized credit's downside cushion makes it attractive across scenarios.
J.P. Morgan Asset Management,3/26/2026,Global Fixed Income Views 2Q 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-fixed-income-views-2q-2026-1,US Agency MBS,Fixed Income - Specialty,Fixed Income - Credit & Specialty,Fixed Income,O,Overweight,"Agency mortgage-backed securities offer yield with the backing of government-sponsored enterprises, providing a credit quality advantage during periods of elevated uncertainty. The team highlights agency MBS as part of their broader securitized credit overweight, noting that structural protections and US consumer resilience make this a preferred source of carry."
J.P. Morgan Asset Management,3/26/2026,Global Fixed Income Views 2Q 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-fixed-income-views-2q-2026-1,Global IG Credit,Fixed Income - Investment Grade,Fixed Income - Credit & Specialty,Fixed Income,O,Overweight,"The team sees an opportunity to upgrade credit quality across portfolios as spreads remain narrow compared to history. Higher-quality investment grade issuers offer better risk-adjusted carry in a more uncertain macro backdrop. This is particularly relevant across the European banking capital structure, where the team recommends moving up from subordinated to senior exposure."
J.P. Morgan Asset Management,3/26/2026,Global Fixed Income Views 2Q 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-fixed-income-views-2q-2026-1,Cash/Money Markets,Asset Allocation - Broad,Asset Allocation,Fixed Income,N,Neutral,"Cash and money market instruments offer attractive yields at current policy rates but face reinvestment risk as the team expects eventual rate cuts once the oil shock feeds through to weaker demand. The team does not advocate reducing risk entirely to cash, preferring to remain active in markets."
J.P. Morgan Asset Management,3/26/2026,Global Fixed Income Views 2Q 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-fixed-income-views-2q-2026-1,Subordinated,Fixed Income - Specialty,Fixed Income - Credit & Specialty,Fixed Income,U,Underweight,"The team's call to ""go up in credit quality, especially across the European banking capital structure"" is a direct signal to reduce subordinated bank debt exposure. With recession probability rising to 25% and the ECB potentially hiking into a slowdown, lower tiers of the banking capital stack face disproportionate risk."
J.P. Morgan Asset Management,3/26/2026,Global Fixed Income Views 2Q 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-fixed-income-views-2q-2026-1,Europe HY,Fixed Income - High Yield,Fixed Income - Credit & Specialty,Fixed Income,U,Underweight,"Narrow spreads relative to history offer insufficient compensation for the rising probability of recession in the UK and Europe. If the ECB and BoE hike rather than cut, the damage to European corporates — particularly highly leveraged issuers — could be severe. The team's bias to upgrade credit quality further argues against lower-rated credit."
J.P. Morgan Asset Management,26/03/2026 | 30/04/2026,Global Fixed Income Views 2Q 2026 | Global Asset Allocation Views 2Q 2026,Done,US Treasuries,Fixed Income - Sovereigns North America,Fixed Income - Rates & Sovereigns,Fixed Income,U,Underweight,"The GFICC team (March 24) initially viewed 10-year Treasuries as range-bound at 3.75%-4.25% while the Fed remained on hold, with better risk-reward at the front end. The Multi-Asset Solutions team (April 30) subsequently moved to an explicit short on 10-year duration, reflecting a fundamental outlook for better growth and higher yields. Fewer rate cuts are priced in, and fiscal activism under the OBBBA suggests steeper yield curves. The team maintains a UST 5s30s steepener. The more recent GAA view takes precedence, shifting the consolidated call from Neutral to Underweight."
J.P. Morgan Asset Management,26/03/2026 | 30/04/2026,Global Fixed Income Views 2Q 2026 | Global Asset Allocation Views 2Q 2026,Done,US IG Credit,Fixed Income - Investment Grade,Fixed Income - Credit & Specialty,Fixed Income,N,Neutral,"Both J.P. Morgan teams are neutral on US investment grade credit. The GFICC team (March 24) highlights strong business and household balance sheets and genuine fiscal tailwinds from the OBBBA and tech capex, but notes spreads are narrow by historical standards, limiting further compression potential. The Multi-Asset Solutions team (April 30) concurs, adding that while all-in yields are reasonable, the duration component of IG is unattractive given their broader short-duration stance. Both teams recommend selectivity within the space rather than broad beta exposure."
