Id,Firm,Title,Published At,Source Link,
285797,Columbia Threadneedle Investments,Midyear Equity Outlook: Earnings strength fuels optimism,11/06/2026 00:00:00,https://www.columbiathreadneedle.com/en/gb/institutional/insights/midyear-equity-outlook-earnings-strength-fuels-optimism/,https://www.columbiathreadneedle.com/en/gb/institutional/insights/midyear-equity-outlook-earnings-strength-fuels-optimism/
285909,Columbia Threadneedle Investments,"Midyear Fixed-Income Outlook: Tighter spreads, wider opportunities",11/06/2026 00:00:00,https://www.columbiathreadneedle.com/en/gb/institutional/insights/midyear-fixed-income-outlook-tighter-spreads-wider-opportunities/,https://www.columbiathreadneedle.com/en/gb/institutional/insights/midyear-fixed-income-outlook-tighter-spreads-wider-opportunities/
285470,Columbia Threadneedle Investments,"Midyear Macro Outlook: Persistence, perception and the path ahead for markets",11/06/2026 00:00:00,https://www.columbiathreadneedle.com/en/gb/institutional/insights/midyear-macro-outlook-persistence-perception-and-the-path-ahead-for-markets/,https://www.columbiathreadneedle.com/en/gb/institutional/insights/midyear-macro-outlook-persistence-perception-and-the-path-ahead-for-markets/
280736,Eastspring Investments,Q2 2026 Outlook: Tactically risk-on amid a fragile geopolitical backdrop,26/04/2026 00:00:00,https://www.eastspring.com/docs/librariesprovider6/our-perspectives/market-outlook/2026/q2-2026-quarterly-market-outlook_global.pdf,https://www.eastspring.com/docs/librariesprovider6/our-perspectives/market-outlook/2026/q2-2026-quarterly-market-outlook_global.pdf
285277,Federated Hermes,Eurozone outlook darkens amid energy crunch,28/05/2026 00:00:00,https://www.hermes-investment.com/uk/en/institutions/insights/liquidity/eurozone-outlook-darkens-amid-energy-crunch/,https://www.hermes-investment.com/uk/en/institutions/insights/liquidity/eurozone-outlook-darkens-amid-energy-crunch/
,Guggenheim Investments,June 2026 Economic Outlook and Key Themes,,https://portal.guggenheiminvestments.com/GuggenheimInvestments/media/PDF/Economic-Outlook-and-Key-Themes-Monthly-Commentary.pdf,https://portal.guggenheiminvestments.com/GuggenheimInvestments/media/PDF/Economic-Outlook-and-Key-Themes-Monthly-Commentary.pdf
285356,Impax Asset Management,Mid-Year Credit Outlook 2026,29/05/2026 00:00:00,https://impaxam.com/assets/pdfs/reports/mid-year-credit-outlook-2026.pdf?pwm=9893,https://impaxam.com/assets/pdfs/reports/mid-year-credit-outlook-2026.pdf?pwm=9893
285357,Impax Asset Management,Mid-Year Equities Outlook 2026,29/05/2026 00:00:00,https://impaxam.com/assets/pdfs/reports/mid-year-equities-outlook-2026.pdf?pwm=1764,https://impaxam.com/assets/pdfs/reports/mid-year-equities-outlook-2026.pdf?pwm=1764
285312,Invesco,2026 Midyear Investment Outlook - Asia Equities,29/05/2026 00:00:00,https://www.invesco.com/apac/en/institutional/insights/equity/asia-equities-outlook.html,https://www.invesco.com/apac/en/institutional/insights/equity/asia-equities-outlook.html
285477,Invesco,2026 Midyear Investment Outlook – Asia Fixed Income: High Yield,02/06/2026 00:00:00,https://www.invesco.com/apac/en/institutional/insights/fixed-income/asia-hy-outlook.html,https://www.invesco.com/apac/en/institutional/insights/fixed-income/asia-hy-outlook.html
285476,Invesco,2026 Midyear Investment Outlook – Asia Fixed Income: Investment Grade,02/06/2026 00:00:00,https://www.invesco.com/apac/en/institutional/insights/fixed-income/asia-ig-outlook.html,https://www.invesco.com/apac/en/institutional/insights/fixed-income/asia-ig-outlook.html
285311,Invesco,2026 Midyear Investment Outlook – China Equities,29/05/2026 00:00:00,https://www.invesco.com/apac/en/institutional/insights/equity/china-equities-outlook.html,https://www.invesco.com/apac/en/institutional/insights/equity/china-equities-outlook.html
285475,Invesco,2026 Midyear Investment Outlook – Japan Equities,02/06/2026 00:00:00,https://www.invesco.com/apac/en/institutional/insights/equity/japan-equities-outlook.html,https://www.invesco.com/apac/en/institutional/insights/equity/japan-equities-outlook.html
286025,Invesco,2026 midyear outlook: A world disrupted? Resilience endures.,15/06/2026 00:00:00,https://www.invesco.com/content/dam/invesco/apac/en/pdf/insights/2026/june/invesco-2026-mid-year-investment-outlook-june-2026.pdf,https://www.invesco.com/content/dam/invesco/apac/en/pdf/insights/2026/june/invesco-2026-mid-year-investment-outlook-june-2026.pdf
286056,J.P. Morgan Asset Management,Mid-Year Investment Outlook 2026: Enough fuel in the engine,15/06/2026 00:00:00,https://am.jpmorgan.com/content/dam/jpm-am-aem/global/en/insights/market-insights/investment-outlook-2026-uk.pdf?_gl=1*rhnpms*_up*MQ..*_ga*MjI0Njk5ODUyLjE3ODIzMDE0ODc.*_ga_SLLWW8GS4N*czE3ODIzMDE0ODckbzEkZzAkdDE3ODIzMDE0ODckajYwJGwwJGgw,https://am.jpmorgan.com/content/dam/jpm-am-aem/global/en/insights/market-insights/investment-outlook-2026-uk.pdf?_gl=1*rhnpms*_up*MQ..*_ga*MjI0Njk5ODUyLjE3ODIzMDE0ODc.*_ga_SLLWW8GS4N*czE3ODIzMDE0ODckbzEkZzAkdDE3ODIzMDE0ODckajYwJGwwJGgw
280178,Janus Henderson Investors,Multi-Sector Credit Asset Allocation Perspectives: Defensive carry amid asymmetric risks,10/04/2026 00:00:00,https://cdn.janushenderson.com/webdocs/Multi%2520Sector%2520Credit%2520Asset%2520Allocation%2520Perspectives%2520Q2%25202026.pdf,https://cdn.janushenderson.com/webdocs/Multi%2520Sector%2520Credit%2520Asset%2520Allocation%2520Perspectives%2520Q2%25202026.pdf
285862,KKR,Mid-Year Outlook for 2026: The Divergence Conundrum,01/06/2026 00:00:00,https://www.kkr.com/content/dam/kkr/insights/pdf/2026-mid-year-outlook.pdf,https://www.kkr.com/content/dam/kkr/insights/pdf/2026-mid-year-outlook.pdf
286020,Lord Abbett,2026 Midyear Investment Outlook: An Active Environment for Fixed Income,04/06/2026 00:00:00,https://www.lordabbett.com/content/dam/lordabbett-captivate/documents/insights/InvestmentPerspectives/2026/060426-2026-midyear-investment-outlook-an-active-environment-for-fixed-income.pdf,https://www.lordabbett.com/content/dam/lordabbett-captivate/documents/insights/InvestmentPerspectives/2026/060426-2026-midyear-investment-outlook-an-active-environment-for-fixed-income.pdf
286678,Manulife,2026 Global Macroeconomic Outlook: trying to move past the Middle East conflict,22/06/2026 00:00:00,https://www.manulifeim.com/institutional/us/en/viewpoints/market-outlook/2026-global-macroeconomic-outlook-trying-to-move-past-the-middle-east-conflict,https://www.manulifeim.com/institutional/us/en/viewpoints/market-outlook/2026-global-macroeconomic-outlook-trying-to-move-past-the-middle-east-conflict
285848,PGIM,2026 Mid-Year Fixed Income View,09/06/2026 00:00:00,https://www.pgim.com/content/dam/pgim/us/en/pgim-center/active/documents/outlooks/2026/PGIM-2026-Mid-Year-Fixed-Income-View.pdf,https://www.pgim.com/content/dam/pgim/us/en/pgim-center/active/documents/outlooks/2026/PGIM-2026-Mid-Year-Fixed-Income-View.pdf
285846,PGIM,2026 Mid-Year Multi-Asset View,09/06/2026 00:00:00,https://www.pgim.com/content/dam/pgim/us/en/pgim-center/active/documents/outlooks/2026/PGIM-2026-Mid-Year-Multi-Asset-View.pdf,https://www.pgim.com/content/dam/pgim/us/en/pgim-center/active/documents/outlooks/2026/PGIM-2026-Mid-Year-Multi-Asset-View.pdf
,State Street Investment Management,2026 Midyear ETF Market Outlook: The courage to follow the fundamentals,,https://www.ssga.com/us/en/institutional/insights/etf-market-outlook/the-courage-to-follow-the-fundamentals,https://www.ssga.com/us/en/institutional/insights/etf-market-outlook/the-courage-to-follow-the-fundamentals
,State Street Investment Management,2026 Midyear ETF Market Outlook: Diversify for a new regime with multi-asset strategies and real assets,,https://www.ssga.com/us/en/institutional/insights/etf-market-outlook/diversify-for-a-new-regime-with-multi-asset-strategies-and-real-assets,
,State Street Investment Management,2026 Midyear ETF Market Outlook: Position beyond US large-cap tech for the next wave of AI and economic realignment,,https://www.ssga.com/us/en/institutional/insights/etf-market-outlook/position-beyond-us-large-cap-tech-for-the-next-wave-of-ai-and-economic-realignment,
,State Street Investment Management,2026 Midyear ETF Market Outlook: Prioritize income and resilience with active short duration and multi-sector credit,,https://www.ssga.com/us/en/institutional/insights/etf-market-outlook/prioritize-income-and-resilience-with-active-short-duration-and-multi-sector-credit,
285881,State Street Investment Management,Gold 2026 Midyear Outlook: A tug-of-war between tactical and structural momentum,10/06/2026 00:00:00,https://www.ssga.com/us/en/institutional/insights/gold-2026-midyear-outlook-a-tug-of-war-between-tactical-and-structural-momentum,https://www.ssga.com/us/en/institutional/insights/gold-2026-midyear-outlook-a-tug-of-war-between-tactical-and-structural-momentum
286019,T. Rowe Price,2026 Midyear Market Outlook: Five shifts reshaping markets,08/06/2026 00:00:00,https://www.troweprice.com/content/dam/public/enterprise/insights/global-markets-outlook/images/2026-mymo/mid-year-market-outlook-2026.pdf,https://www.troweprice.com/content/dam/public/enterprise/insights/global-markets-outlook/images/2026-mymo/mid-year-market-outlook-2026.pdf
