Firm,Date,Source,URL,Sub-Asset Class,Asset Class Category,Canva Groupings,Asset Class,View,Full Commentary,confidence,band,review_flag
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,AUD,Currencies,Currencies,Currencies,O,"AUD/USD forecast to appreciate from 0.75 to 0.77 — a positive Australian dollar view. Evidence: Australia — FX Rates vs. USD: 0.75 (2026F), 0.77 (2027F). Locator: p.10 — 'Forecast Table'.",85,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Canada Govt Bonds,Fixed Income - Sovereigns North America,Fixed Income - Rates & Sovereigns,Fixed Income,O,"Canadian 10-yr yield forecast eases 25bps — a mildly constructive view on Canadian government bonds. Evidence: Canada — Long Rates (%): 3.25 (2026F), 3.00 (2027F). Locator: p.10 — 'Forecast Table'.",85,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,CAD,Currencies,Currencies,Currencies,U,"USD/CAD forecast to rise 1.40→1.42, i.e. CAD depreciation — a mild negative Canadian dollar view. Evidence: Canada — FX Rates vs. USD: 1.40 (2026F), 1.42 (2027F). Locator: p.10 — 'Forecast Table'.",85,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,India Govt Bonds,Fixed Income - Sovereigns APAC,Fixed Income - Rates & Sovereigns,Fixed Income,O,"Indian 10-yr yield forecast eases ~20bps — a mildly constructive view on Indian government bonds. Evidence: India — Long Rates (%): 6.90 (2026F), 6.70 (2027F). Locator: p.10 — 'Forecast Table'.",85,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,BRL,Currencies,Currencies,Currencies,O,"USD/BRL forecast to fall 5.40→5.20, i.e. BRL appreciation (~3.7%) — a positive Brazilian real view. Evidence: Brazil — FX Rates vs. USD: 5.40 (2026F), 5.20 (2027F). Locator: p.10 — 'Forecast Table'.",85,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Peso,Currencies,Currencies,Currencies,O,"USD/MXN forecast to fall 18.8→18.5, i.e. Mexican peso appreciation — snapped to 'Peso' (Mexican peso) semantically. Evidence: Mexico — FX Rates vs. USD: 18.8 (2026F), 18.5 (2027F). Locator: p.10 — 'Forecast Table'.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,South Africa Fixed Income,Fixed Income - Geo,Fixed Income - General,Fixed Income,U,"South African 10-yr yield forecast rises ~20bps — a mildly negative view on South African sovereign fixed income (nearest leaf; no dedicated SA govt-bond leaf). Evidence: South Africa — Long Rates (%): 8.70 (2026F), 8.90 (2027F). Locator: p.10 — 'Forecast Table'.",75,High,none
J.P. Morgan Asset Management,3/26/2026,Global Fixed Income Views 2Q 2026,https://am.jpmorgan.com/us/en/asset-management/institutional/insights/portfolio-insights/asset-class-views/fixed-income/,High Quality Issuers,Fixed Income - Investment Grade,Fixed Income - Credit & Specialty,Fixed Income,O,"With spreads historically narrow leaving little compensation for risk, JPM deliberately moves up in credit quality, especially within the European bank capital structure. Evidence: The group also saw an opportunity to go up in credit quality at a time when spreads generally remain narrow compared with history, especially across the European banking capital structure.. Locator: p.3.",90,High,none
J.P. Morgan Asset Management,3/26/2026,Global Fixed Income Views 2Q 2026,https://am.jpmorgan.com/us/en/asset-management/institutional/insights/portfolio-insights/asset-class-views/fixed-income/,Low Quality Issuers,Fixed Income - High Yield,Fixed Income - Credit & Specialty,Fixed Income,U,"The explicit up-in-quality move, taken because narrow spreads underpay for risk, is the mirror-image underweight of lower-quality issuers. Evidence: The group also saw an opportunity to go up in credit quality at a time when spreads generally remain narrow compared with history, especially across the European banking capital structure.. Locator: p.3.",75,High,none
J.P. Morgan Asset Management,3/26/2026,Global Fixed Income Views 2Q 2026,https://am.jpmorgan.com/us/en/asset-management/institutional/insights/portfolio-insights/asset-class-views/fixed-income/,Securitized/Structured (ABS/MBS/CDS/Swaps/CLOs),Fixed Income - Specialty,Fixed Income - Credit & Specialty,Fixed Income,O,"Securitized credit is named a top focus, favored for the credit enhancement of its structure and resilient U.S. consumer backing during market stress. Evidence: Securitized credit remains a top focus. The inherent credit enhancement of the securitization structure and the resilience of the U.S. consumer are comforting during times of market stress.. Locator: p.3.",90,High,none
PIMCO,3/24/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://www.pimco.com/gb/en/insights/layered-uncertainty-conflict-credit-stress-and-ai,Inflation-Linked/TIPs,Fixed Income - Sovereigns North America,Fixed Income - Rates & Sovereigns,Fixed Income,O,"PIMCO recommends structural allocations to TIPS as an energy-shock/stagflation hedge, a positive stance on inflation-linked bonds. Evidence: With energy shocks more common in recent years, consider structural allocations to TIPS, commodities, and other real assets. Locator: p.1 — 'Geopolitical shocks / Investment implications' box.",90,High,none
PIMCO,3/24/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://www.pimco.com/gb/en/insights/layered-uncertainty-conflict-credit-stress-and-ai,Commodities,Alts - Commodities,Commodities,Alternatives,O,"Commodities recommended as a structural allocation to hedge recurring energy shocks and stagflation risk. Evidence: With energy shocks more common in recent years, consider structural allocations to TIPS, commodities, and other real assets. Locator: p.1 — 'Geopolitical shocks / Investment implications' box.",100,High,none
PIMCO,3/24/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://www.pimco.com/gb/en/insights/layered-uncertainty-conflict-credit-stress-and-ai,Real Assets,Asset Allocation - Broad,Alts - Real Assets,Alternatives,O,"Real assets broadly recommended as a structural inflation/energy-shock ballast alongside TIPS and commodities. Evidence: With energy shocks more common in recent years, consider structural allocations to TIPS, commodities, and other real assets. Locator: p.1 — 'Geopolitical shocks / Investment implications' box.",90,High,none
PIMCO,3/24/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://www.pimco.com/gb/en/insights/layered-uncertainty-conflict-credit-stress-and-ai,Fixed Income - General/Global,Asset Allocation - Broad,Asset Allocation,Fixed Income,O,"PIMCO favors public fixed income for attractive yields and liquidity, positioning it over less-liquid private credit. Evidence: Look to opportunities in public fixed income, with attractive yields and robust liquidity profiles. Locator: p.1 — 'Private credit concerns / Investment implications' box.",90,High,none
PIMCO,3/24/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://www.pimco.com/gb/en/insights/layered-uncertainty-conflict-credit-stress-and-ai,PD - Direct Lending,Alts - Private Credit,Alts - Private Equity & Credit,Alternatives,U,"PIMCO's flagged concerns on rapid growth, illiquidity and lax underwriting are now materializing in corporate direct lending, and it steers investors beyond it — a cautious/underweight stance. Evidence: Concerns we have flagged about rapid growth, illiquidity, and lax underwriting are playing out across corporate direct lending. Locator: p.1 — 'Private credit concerns / Macro implications' box. Checker: unconfirmed (The quote is cautionary on direct lending but reads more like concerns materializing than a clear forward-looking allocation stance.).",74,Medium,review
PIMCO,3/24/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://www.pimco.com/gb/en/insights/layered-uncertainty-conflict-credit-stress-and-ai,PD - Asset-Based/Asset-Backed,Alts - Private Credit,Alts - Private Equity & Credit,Alternatives,O,"Asset-based finance is singled out as a more resilient private-credit area to favor over direct lending. Evidence: Explore private credit investing beyond direct lending, including more resilient areas like asset-based finance and real estate debt. Locator: p.1 — 'Private credit concerns / Investment implications' box.",90,High,none
PIMCO,3/24/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://www.pimco.com/gb/en/insights/layered-uncertainty-conflict-credit-stress-and-ai,RE Debt,Alts - Real Estate,Alts - Real Assets,Alternatives,O,"Real estate debt is highlighted as a resilient private-credit area to favor over direct lending. Evidence: Explore private credit investing beyond direct lending, including more resilient areas like asset-based finance and real estate debt. Locator: p.1 — 'Private credit concerns / Investment implications' box.",90,High,none
PIMCO,3/24/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://www.pimco.com/gb/en/insights/layered-uncertainty-conflict-credit-stress-and-ai,High Quality Issuers,Fixed Income - Investment Grade,Fixed Income - Credit & Specialty,Fixed Income,O,"PIMCO recommends tilting up in credit quality with bottom-up selection to navigate AI-driven winners and losers. Evidence: Tilt up in quality, using rigorous bottom-up credit selection to identify risks. Locator: p.1 — 'AI disruption / Investment implications' box.",90,High,none
PIMCO,3/24/2026,"Layered Uncertainty: Conflict, Credit Stress, and AI",https://www.pimco.com/gb/en/insights/layered-uncertainty-conflict-credit-stress-and-ai,Infra Debt,Alts - Infrastructure,Alts - Real Assets,Alternatives,O,"PIMCO sees selective opportunity in lending to AI infrastructure, conditioned on attractive pricing and strong covenants — a favorable but disciplined stance on infrastructure debt. Evidence: We see sustainable opportunities in AI infrastructure lending when pricing is attractive and lender covenants are strong. Locator: p.1 — 'AI disruption / Investment implications' box.",90,High,none
